payment_id,loan_id,payment_date,due_amount,payment_amount,days_overdue,payment_status
900043,700009,2023-12-19,19633.6,18951.93,0,On Time
900044,700009,2025-08-09,10180.3,11138.07,0,On Time
900045,700009,2024-02-27,10372.11,10498.62,0,On Time
900046,700010,2027-10-26,18778.4,21426.15,0,On Time
900047,700010,2027-07-09,18860.88,16283.8,0,On Time
900048,700010,2028-03-25,4671.06,4879.86,17,Late
900049,700010,2028-04-07,21017.17,23143.46,0,On Time
900050,700010,2028-08-09,17200.56,17486.69,0,On Time
900051,700011,2021-07-25,15493.07,17310.77,0,On Time
900052,700011,2021-03-19,22486.8,21655.01,0,On Time
900053,700011,2021-10-14,11013.02,10106.44,0,On Time
900054,700011,2021-07-17,59457.76,52128.71,0,On Time
900055,700011,2021-11-20,17028.13,18004.1,0,On Time
900056,700012,2023-04-02,24062.19,23475.09,21,Late
900057,700012,2022-05-11,13175.22,13158.87,0,On Time
900058,700012,2023-10-08,21513.23,21026.8,0,On Time
900059,700012,2022-09-27,11163.08,12203.58,0,On Time
900060,700012,2022-11-12,6431.1,6280.0,4,Late
900061,700013,2021-05-09,10314.45,9902.77,0,On Time
900062,700013,2022-07-02,16794.07,18425.05,0,On Time
900063,700013,2020-08-22,12295.13,13677.43,0,On Time
900064,700013,2022-11-05,20346.09,19651.48,0,On Time
900065,700013,2021-04-16,11263.57,10668.48,17,Late
900066,700014,2025-06-06,13423.12,11747.67,30,Late
900067,700014,2023-02-02,19719.84,12056.16,155,Severely Late
900068,700014,2023-10-03,27882.53,29089.99,0,On Time
900069,700014,2025-05-14,15278.63,13352.12,0,On Time
900070,700014,2024-08-02,23238.36,25217.32,0,On Time
900071,700015,2023-02-09,8334.91,8186.47,0,On Time
900072,700015,2024-03-13,13466.61,12962.18,11,Late
900073,700015,2023-08-15,14643.81,14828.59,0,On Time
900074,700015,2024-03-06,12687.03,13506.19,0,On Time
900075,700015,2024-07-10,13223.67,14142.65,0,On Time
900076,700016,2026-10-14,9057.7,8485.96,0,On Time
900077,700016,2026-01-19,20020.81,18108.32,0,On Time
900078,700016,2027-05-29,15746.66,15343.19,0,On Time
900079,700016,2026-08-26,14078.81,14700.27,0,On Time
900080,700016,2027-05-06,17981.72,15495.58,0,On Time
900081,700017,2025-06-11,39946.7,44860.3,0,On Time
900082,700017,2024-01-22,34246.44,33367.9,0,On Time
900083,700017,2023-05-23,13018.57,11629.44,30,Late
900084,700017,2025-08-01,8437.13,8501.05,0,On Time
900085,700017,2023-07-09,20504.45,18898.3,0,On Time
900086,700018,2026-01-02,18707.18,16770.48,2,Late
900087,700018,2026-02-14,24351.93,22413.98,0,On Time
900088,700018,2025-03-22,15371.82,16008.16,8,Late
900089,700018,2024-10-25,19330.43,21352.69,0,On Time
900090,700018,2024-08-23,14915.32,15372.49,0,On Time
900091,700019,2025-05-27,7130.3,7552.06,0,On Time
900092,700019,2025-03-14,9424.95,10120.13,0,On Time
900093,700019,2024-05-19,17969.95,17408.34,0,On Time
900094,700019,2025-03-27,27297.1,25849.97,0,On Time
900095,700019,2024-09-27,20692.63,22041.74,0,On Time
900096,700020,2027-07-28,19093.64,18297.36,0,On Time
900097,700020,2027-06-25,15426.49,15702.27,0,On Time
900098,700020,2028-06-23,18427.4,20934.43,0,On Time
900099,700020,2027-09-19,21826.85,21659.63,0,On Time
900100,700020,2027-08-04,22512.1,23072.73,0,On Time
900101,700021,2024-07-28,24177.2,20641.03,0,On Time
900102,700021,2024-11-15,20730.39,18275.54,0,On Time
900103,700021,2025-12-02,35448.29,40601.21,0,On Time
900104,700021,2024-01-09,14988.93,13093.92,0,On Time
900105,700021,2024-04-06,12141.84,10885.96,0,On Time
900106,700022,2025-06-24,18066.36,17600.38,0,On Time
900107,700022,2026-04-18,11433.06,11946.92,0,On Time
900108,700022,2026-03-14,12557.97,12115.56,0,On Time
900109,700022,2027-08-09,15023.34,13670.5,19,Late
900110,700022,2026-09-17,14594.14,14745.66,0,On Time
900111,700023,2022-03-26,19848.28,17700.8,0,On Time
900112,700023,2021-09-25,27537.57,25040.37,0,On Time
900113,700023,2020-07-21,16616.81,19034.63,0,On Time
900114,700023,2021-01-20,12998.55,12852.69,0,On Time
900115,700023,2021-01-06,23844.94,21671.91,0,On Time
900116,700024,2024-04-09,14791.8,14389.99,0,On Time
900117,700024,2023-10-04,11343.1,10273.45,0,On Time
900118,700024,2024-12-25,38776.37,34223.68,5,Late
900119,700024,2023-08-18,10996.92,12104.04,0,On Time
900120,700024,2025-02-06,24231.17,21126.09,0,On Time
900121,700025,2023-07-31,24540.66,25092.03,0,On Time
900122,700025,2022-11-18,12133.71,12752.91,0,On Time
900123,700025,2022-02-13,19569.83,21238.31,0,On Time
900124,700025,2023-08-27,30010.99,34113.64,0,On Time
900125,700025,2022-08-14,15097.81,12889.7,0,On Time
900126,700026,2022-12-10,26915.19,28369.72,0,On Time
900127,700026,2024-12-29,11131.79,9998.05,0,On Time
900128,700026,2023-07-23,38980.11,44324.02,0,On Time
900129,700026,2024-03-19,6568.37,5619.43,23,Late
900130,700026,2022-10-04,20832.36,17891.24,0,On Time
900131,700027,2023-05-28,20757.72,22147.27,0,On Time
900132,700027,2021-04-02,25645.63,25629.44,0,On Time
900133,700027,2021-09-13,23512.04,22985.57,0,On Time
900134,700027,2022-12-27,15943.14,16295.53,0,On Time
900135,700027,2022-06-02,15158.18,16717.75,0,On Time
900136,700028,2020-07-03,13247.43,15192.8,0,On Time
900137,700028,2022-06-16,10236.73,11211.03,0,On Time
900138,700028,2022-02-25,8949.58,9410.18,0,On Time
900139,700028,2022-01-15,6970.63,7126.58,0,On Time
900140,700028,2020-08-25,25311.47,26010.8,0,On Time
900141,700029,2026-10-19,70499.46,64067.3,0,On Time
900142,700029,2026-09-21,17912.29,15682.48,0,On Time
900143,700029,2027-04-16,11323.95,12459.56,39,Severely Late
900144,700029,2025-11-01,14828.99,14017.43,0,On Time
900145,700029,2027-11-22,31698.6,36054.01,0,On Time
900146,700030,2025-10-03,31839.09,34067.03,0,On Time
900147,700030,2026-02-06,28635.61,26792.19,0,On Time
900148,700030,2025-08-03,16933.47,19020.14,0,On Time
900149,700030,2027-10-09,33169.52,34420.43,0,On Time
900150,700030,2027-08-31,7996.87,6911.39,0,On Time
900151,700031,2025-02-12,20440.96,18258.37,0,On Time
900152,700031,2024-04-03,7251.4,6396.82,20,Late
900153,700031,2024-12-18,35188.73,32781.04,0,On Time
900154,700031,2025-01-26,7777.11,8793.64,0,On Time
900155,700031,2026-01-04,14659.41,13809.6,0,On Time
900156,700032,2020-04-28,7658.85,8722.95,0,On Time
900157,700032,2020-07-13,7790.95,6738.47,0,On Time
900158,700032,2020-03-12,21992.68,21986.88,0,On Time
900159,700032,2021-09-06,17250.05,14755.16,0,On Time
900160,700032,2021-04-05,14198.29,13772.57,0,On Time
900161,700033,2023-10-15,33322.15,33468.06,0,On Time
900162,700033,2022-10-16,15062.53,13342.57,0,On Time
900163,700033,2023-06-19,20843.09,21842.77,0,On Time
900164,700033,2023-08-15,12468.22,10618.32,0,On Time
900165,700033,2024-06-28,24317.85,23958.22,0,On Time
900166,700034,2021-04-23,13833.91,12186.88,0,On Time
900167,700034,2022-11-09,21316.41,18175.32,0,On Time
900168,700034,2022-11-18,24087.96,21137.62,0,On Time
900169,700034,2021-06-30,40532.32,37794.52,0,On Time
900170,700034,2020-12-31,20184.21,19979.73,0,On Time
900171,700035,2023-08-07,17897.36,18261.44,2,Late
900172,700035,2023-06-08,13122.82,13773.09,6,Late
900173,700035,2025-01-24,21246.35,18610.69,0,On Time
900174,700035,2023-08-01,14324.01,15629.35,0,On Time
900175,700035,2023-12-06,6436.58,6445.45,0,On Time
900176,700036,2023-10-12,22588.76,25224.81,0,On Time
900177,700036,2022-10-12,28666.81,32625.89,0,On Time
900178,700036,2023-03-15,15831.01,13553.47,0,On Time
900179,700036,2023-09-27,7286.72,7623.65,4,Late
900180,700036,2023-07-25,12457.7,13727.59,0,On Time
900181,700037,2024-12-22,9681.07,10743.25,0,On Time
900182,700037,2024-08-31,19458.0,21112.8,0,On Time
900183,700037,2024-10-11,8080.07,6286.35,92,Severely Late
900184,700037,2024-05-14,33155.75,33679.15,0,On Time
900185,700037,2026-02-04,25475.96,21798.78,0,On Time
900186,700038,2022-11-27,28123.44,23986.88,0,On Time
900187,700038,2022-08-14,17989.25,20365.82,0,On Time
900188,700038,2023-10-15,29653.58,33805.39,0,On Time
900189,700038,2022-08-06,14614.38,13727.59,0,On Time
900190,700038,2022-12-10,9340.79,10417.7,0,On Time
900191,700039,2025-01-17,26941.12,29424.0,0,On Time
900192,700039,2024-11-05,22547.04,19358.18,0,On Time
900193,700039,2022-12-02,48503.16,43246.74,0,On Time
900194,700039,2023-12-21,11906.68,12164.59,6,Late
900195,700039,2024-04-21,16062.36,16189.06,0,On Time
900196,700040,2026-03-24,10471.62,9975.66,85,Severely Late
900197,700040,2026-04-19,25119.99,28372.08,0,On Time
900198,700040,2027-01-29,12676.96,11112.19,0,On Time
900199,700040,2025-08-24,41768.29,44109.86,0,On Time
900200,700040,2027-03-20,14841.58,13481.66,21,Late
900201,700041,2024-08-07,10166.55,8679.09,0,On Time
900202,700041,2026-09-11,26874.67,26905.97,0,On Time
900203,700041,2026-06-25,12020.54,11963.77,0,On Time
900204,700041,2025-09-28,14102.37,15996.14,0,On Time
900205,700041,2026-01-18,16380.93,18463.96,0,On Time
900206,700042,2025-08-29,23928.19,22655.82,0,On Time
900207,700042,2024-08-01,25058.3,23859.71,0,On Time
900208,700042,2025-10-13,17189.91,19217.3,0,On Time
900209,700042,2024-05-30,18071.52,17068.62,0,On Time
900210,700042,2026-03-18,39070.68,39738.01,0,On Time
900211,700043,2021-12-12,17089.56,18043.07,0,On Time
900212,700043,2023-08-02,38325.16,38342.58,0,On Time
900213,700043,2021-11-24,13402.31,14348.95,0,On Time
900214,700043,2023-06-09,20010.58,18879.28,0,On Time
900215,700043,2022-11-12,8081.37,7336.35,5,Late
900216,700044,2024-03-24,14947.18,15831.42,0,On Time
900217,700044,2025-11-27,21365.86,22685.53,0,On Time
900218,700044,2025-07-22,21525.34,22983.41,4,Late
900219,700044,2025-01-02,13072.75,12354.56,0,On Time
900220,700044,2023-10-03,15513.7,15408.36,0,On Time
900221,700045,2021-06-29,19579.26,19813.5,0,On Time
900222,700045,2022-02-12,27899.05,24100.67,0,On Time
900223,700045,2022-01-19,14200.84,15829.43,0,On Time
900224,700045,2022-10-27,24481.6,27873.69,0,On Time
900225,700045,2023-04-01,19833.5,17125.01,0,On Time
900226,700046,2026-08-25,8355.55,9344.98,0,On Time
900227,700046,2025-12-06,28666.52,27115.24,0,On Time
900228,700046,2026-12-11,13857.99,15828.92,0,On Time
900229,700046,2024-10-29,18181.37,16630.21,0,On Time
900230,700046,2025-01-22,24286.49,25907.91,0,On Time
900231,700047,2021-11-29,19707.98,18101.94,0,On Time
900232,700047,2021-10-15,7371.18,7885.26,0,On Time
900233,700047,2020-07-15,14106.63,14330.48,0,On Time
900234,700047,2021-04-05,27082.4,25469.03,13,Late
900235,700047,2020-10-30,24202.45,25520.04,0,On Time
900236,700048,2026-10-03,22561.54,22796.55,0,On Time
900237,700048,2027-08-24,7844.08,8154.08,0,On Time
900238,700048,2027-05-28,13867.95,12540.53,0,On Time
900239,700048,2025-11-15,9304.86,10499.65,21,Late
900240,700048,2026-07-24,14049.33,15725.58,0,On Time
900241,700049,2022-02-12,14608.15,13755.49,0,On Time
900242,700049,2022-10-10,16522.17,15673.14,6,Late
900243,700049,2022-02-21,15792.45,16782.77,19,Late
900244,700049,2023-01-10,18014.15,17735.02,0,On Time
900245,700049,2022-06-29,24893.4,8559.71,104,Severely Late
900246,700050,2021-10-12,39888.05,39249.05,0,On Time
900247,700050,2022-03-06,12129.24,12690.18,15,Late
900248,700050,2023-07-22,19996.03,17310.46,0,On Time
900249,700050,2021-04-17,17545.6,19877.43,0,On Time
900250,700050,2023-05-22,54433.15,61610.69,3,Late
900251,700051,2026-07-23,19638.41,16969.89,0,On Time
900252,700051,2027-04-07,16031.29,18202.65,0,On Time
900253,700051,2026-07-25,38539.29,35648.57,0,On Time
900254,700051,2025-04-06,14103.75,15290.94,0,On Time
900255,700051,2025-10-21,16091.78,17434.78,0,On Time
900256,700052,2022-12-03,19758.62,19359.29,0,On Time
900257,700052,2022-09-27,13738.22,14110.59,0,On Time
900258,700052,2022-04-28,30460.24,29793.58,0,On Time
900259,700052,2023-11-26,5523.45,5324.12,0,On Time
900260,700052,2022-06-15,27503.04,23464.85,19,Late
900261,700053,2026-12-18,37290.32,41090.19,0,On Time
900262,700053,2026-09-30,19238.4,16497.95,86,Severely Late
900263,700053,2026-08-27,16037.81,16255.94,24,Late
900264,700053,2026-09-19,14971.73,16036.3,0,On Time
900265,700053,2026-08-03,25028.43,22609.77,0,On Time
900266,700054,2025-07-10,14580.36,6851.04,123,Severely Late
900267,700054,2025-01-04,8226.81,8087.87,0,On Time
900268,700054,2025-07-11,9987.75,8524.16,0,On Time
900269,700054,2025-06-24,15197.79,15654.34,0,On Time
900270,700054,2024-11-23,12947.66,12911.69,0,On Time
900271,700055,2025-07-07,27682.7,24291.3,14,Late
900272,700055,2025-12-20,14003.14,13264.81,0,On Time
900273,700055,2024-07-21,28545.55,30474.55,4,Late
900274,700055,2025-11-07,15470.74,13925.53,19,Late
900275,700055,2025-11-24,17045.43,18192.75,0,On Time
900276,700056,2021-09-30,21390.19,22089.69,0,On Time
900277,700056,2022-05-17,4905.55,5568.95,0,On Time
900278,700056,2021-11-05,24677.84,24624.44,0,On Time
900279,700056,2023-01-08,18351.2,18268.69,0,On Time
900280,700056,2021-03-29,21271.24,18719.63,0,On Time
900281,700057,2026-10-26,15444.48,14587.39,0,On Time
900282,700057,2025-12-26,28698.11,28693.62,0,On Time
900283,700057,2025-03-14,35583.35,40616.25,0,On Time
900284,700057,2024-12-05,12395.2,13000.61,0,On Time
900285,700057,2025-09-14,16226.42,16088.91,0,On Time
900286,700058,2021-07-26,42383.69,37715.88,0,On Time
900287,700058,2021-10-08,17382.15,17679.84,20,Late
900288,700058,2022-11-14,45939.74,51635.46,26,Late
900289,700058,2022-09-21,54167.39,52540.54,0,On Time
900290,700058,2021-05-05,9354.03,10140.28,28,Late
900291,700059,2025-02-25,25437.61,24377.74,0,On Time
900292,700059,2023-05-13,6539.13,6579.33,14,Late
900293,700059,2023-10-04,14297.4,15307.12,0,On Time
900294,700059,2024-07-08,36422.03,37250.92,0,On Time
900295,700059,2023-10-31,15307.08,15880.22,0,On Time
900296,700060,2026-08-05,29911.98,26503.12,0,On Time
900297,700060,2026-04-21,13139.39,13845.28,0,On Time
900298,700060,2025-11-24,34804.25,39211.6,0,On Time
900299,700060,2026-07-10,18746.72,20142.31,0,On Time
900300,700060,2026-04-20,30642.2,26255.02,0,On Time
900301,700061,2026-12-11,11148.49,11407.94,0,On Time
900302,700061,2027-02-13,23792.09,21745.9,0,On Time
900303,700061,2027-10-15,7062.71,6227.15,0,On Time
900304,700061,2027-03-22,6198.64,6718.61,10,Late
900305,700061,2026-11-27,18948.19,16604.73,0,On Time
900306,700062,2025-03-02,20536.34,19499.09,0,On Time
900307,700062,2026-05-08,21834.6,21436.4,0,On Time
900308,700062,2025-01-16,14623.02,16198.74,10,Late
900309,700062,2024-12-26,16596.84,15098.67,0,On Time
900310,700062,2025-08-29,12003.6,11327.34,0,On Time
900311,700063,2025-12-30,18621.31,16085.4,17,Late
900312,700063,2024-10-26,10538.95,10410.83,0,On Time
900313,700063,2023-10-05,28607.97,28533.83,0,On Time
900314,700063,2025-09-05,5603.46,5017.13,0,On Time
900315,700063,2023-12-06,28605.51,25259.95,0,On Time
900316,700064,2025-07-06,16260.05,14693.25,0,On Time
900317,700064,2024-09-16,15835.45,18102.55,13,Late
900318,700064,2025-03-06,21323.64,18996.07,0,On Time
900319,700064,2024-08-01,25227.08,26246.14,0,On Time
900320,700064,2024-08-10,20023.21,22533.48,0,On Time
900321,700065,2026-10-15,16640.53,18058.5,0,On Time
900322,700065,2024-12-21,22813.98,25882.26,0,On Time
900323,700065,2025-04-05,12928.56,12397.78,0,On Time
900324,700065,2027-04-04,22245.24,22228.3,26,Late
900325,700065,2025-10-17,19319.4,16800.69,0,On Time
900326,700066,2023-12-03,47077.6,44403.13,0,On Time
900327,700066,2023-01-09,18105.86,20674.26,0,On Time
900328,700066,2024-12-16,13550.62,13133.67,0,On Time
900329,700066,2023-07-27,34553.25,30310.62,0,On Time
900330,700066,2023-01-29,20044.75,19570.66,0,On Time
900331,700067,2025-04-14,14927.17,13383.65,0,On Time
900332,700067,2024-04-17,18274.36,17611.41,17,Late
900333,700067,2026-07-02,18730.38,18278.01,0,On Time
900334,700067,2025-01-07,15670.28,13609.45,0,On Time
900335,700067,2026-02-08,23321.75,20771.68,9,Late
900336,700068,2025-11-25,17342.7,18610.37,17,Late
900337,700068,2025-05-13,25499.28,25488.2,0,On Time
900338,700068,2026-03-04,9110.74,10427.17,0,On Time
900339,700068,2025-08-11,35704.33,31409.27,0,On Time
900340,700068,2025-05-31,11585.72,10091.79,0,On Time
900341,700069,2024-05-16,11840.1,11979.73,0,On Time
900342,700069,2024-07-11,4765.04,4347.99,0,On Time
900343,700069,2024-04-16,14212.26,13260.46,24,Late
900344,700069,2026-01-24,13675.36,13918.36,0,On Time
900345,700069,2024-08-22,12168.87,12500.44,0,On Time
900346,700070,2021-05-01,8073.62,6916.08,0,On Time
900347,700070,2021-05-06,23112.37,20348.56,29,Late
900348,700070,2021-07-14,15198.01,13841.92,0,On Time
900349,700070,2022-01-09,21456.99,20331.38,0,On Time
900350,700070,2023-05-03,30586.82,29658.72,0,On Time
900351,700071,2021-09-11,20695.43,22876.46,0,On Time
900352,700071,2021-11-19,18020.49,17694.3,0,On Time
900353,700071,2021-10-28,15552.82,14386.49,7,Late
900354,700071,2021-09-07,38524.58,40388.66,0,On Time
900355,700071,2022-04-23,20562.18,23373.29,0,On Time
900356,700072,2024-03-25,10360.36,9703.78,0,On Time
900357,700072,2023-01-12,51499.33,48603.83,0,On Time
900358,700072,2024-03-17,17667.17,15123.96,11,Late
900359,700072,2023-11-03,25681.45,23124.8,16,Late
900360,700072,2023-12-23,18825.95,11992.52,179,Severely Late
900361,700073,2027-09-17,16639.92,8912.59,150,Severely Late
900362,700073,2026-01-02,30882.42,29683.54,10,Late
900363,700073,2027-04-16,12931.71,12744.54,0,On Time
900364,700073,2026-11-23,12925.59,12484.19,0,On Time
900365,700073,2027-12-11,34678.93,33332.26,0,On Time
900366,700074,2023-03-25,19352.15,19910.58,13,Late
900367,700074,2024-04-22,14030.22,13273.81,0,On Time
900368,700074,2022-07-25,25766.41,24770.66,0,On Time
900369,700074,2022-12-25,19445.53,19320.31,0,On Time
900370,700074,2023-04-21,17456.1,16792.5,0,On Time
900371,700075,2026-03-06,18115.42,17817.68,0,On Time
900372,700075,2027-09-18,19940.14,22651.97,0,On Time
900373,700075,2025-11-06,19730.17,22650.02,9,Late
900374,700075,2027-01-27,14884.28,13380.45,23,Late
900375,700075,2025-08-11,50662.83,45517.7,0,On Time
900376,700076,2026-05-24,6896.69,7748.1,25,Late
900377,700076,2027-11-13,18002.04,18212.56,42,Severely Late
900378,700076,2027-12-07,43777.34,38405.8,0,On Time
900379,700076,2026-03-22,15385.4,17630.19,0,On Time
900380,700076,2027-07-28,9862.76,11283.5,0,On Time
900381,700077,2025-03-29,18535.67,18885.8,0,On Time
900382,700077,2025-07-24,21608.63,20261.78,0,On Time
900383,700077,2026-06-19,26787.29,24989.98,0,On Time
900384,700077,2025-10-28,20796.92,22440.49,0,On Time
900385,700077,2024-06-23,11323.79,10051.59,0,On Time
900386,700078,2021-10-13,17857.18,20458.99,8,Late
900387,700078,2022-12-31,16750.88,19104.39,0,On Time
900388,700078,2023-09-28,21656.04,22985.13,0,On Time
900389,700078,2023-11-29,14499.74,12449.0,27,Late
900390,700078,2022-09-05,8895.3,9279.11,0,On Time
900391,700079,2020-09-14,20383.12,22699.75,0,On Time
900392,700079,2021-05-22,21689.76,19272.65,0,On Time
900393,700079,2021-11-19,36731.98,40078.58,0,On Time
900394,700079,2020-08-10,23586.59,21699.68,0,On Time
900395,700079,2022-06-26,18566.96,17674.2,0,On Time
900396,700080,2026-11-23,21456.7,20554.64,0,On Time
900397,700080,2026-12-15,16796.27,19060.86,0,On Time
900398,700080,2025-07-16,20892.25,18048.97,0,On Time
900399,700080,2025-07-07,18602.91,20948.59,0,On Time
900400,700080,2025-08-05,11411.84,12858.74,0,On Time
900401,700081,2026-01-08,21169.32,18599.58,0,On Time
900402,700081,2025-03-21,8025.0,8873.38,0,On Time
900403,700081,2025-06-10,22992.41,24999.27,13,Late
900404,700081,2025-06-21,11568.86,12730.86,0,On Time
900405,700081,2024-06-05,22557.52,20511.5,0,On Time
900406,700082,2023-06-22,11108.05,10355.23,0,On Time
900407,700082,2025-02-28,9074.46,10235.22,0,On Time
900408,700082,2022-11-03,12241.84,10494.78,0,On Time
900409,700082,2024-01-16,45289.26,51172.57,21,Late
900410,700082,2023-03-22,18305.89,17310.15,0,On Time
900411,700083,2026-03-07,20767.27,21046.55,0,On Time
900412,700083,2026-06-18,16831.42,18739.94,0,On Time
900413,700083,2026-04-26,14863.57,14549.78,0,On Time
900414,700083,2027-03-11,9757.77,10857.19,0,On Time
900415,700083,2026-02-14,18477.95,17276.22,1,Late
900416,700084,2027-10-23,19077.21,17992.39,0,On Time
900417,700084,2027-02-15,12277.31,13787.51,11,Late
900418,700084,2028-06-25,18703.34,20216.76,15,Late
900419,700084,2027-01-23,27493.84,26621.6,0,On Time
900420,700084,2026-12-27,14925.51,16340.47,0,On Time
900421,700085,2026-11-27,15166.91,15655.58,0,On Time
900422,700085,2027-05-12,13264.41,13092.51,0,On Time
900423,700085,2027-07-25,11440.4,10852.16,0,On Time
900424,700085,2027-09-09,34665.96,38471.91,0,On Time
900425,700085,2027-06-09,30682.38,30364.79,0,On Time
900426,700086,2024-06-15,16281.98,13906.74,125,Severely Late
900427,700086,2026-05-03,14677.7,14291.37,0,On Time
900428,700086,2025-05-19,15608.8,16875.0,0,On Time
900429,700086,2024-06-17,27720.92,29008.28,0,On Time
900430,700086,2026-07-13,18326.7,19614.28,22,Late
900431,700087,2026-12-19,7325.76,6736.32,0,On Time
900432,700087,2027-11-11,25979.59,25449.68,0,On Time
900433,700087,2027-02-13,8651.43,9125.07,0,On Time
900434,700087,2026-09-30,32782.87,37216.19,0,On Time
900435,700087,2026-09-06,14985.2,16699.33,0,On Time
900436,700088,2025-08-22,18829.94,21247.28,0,On Time
900437,700088,2025-11-16,8285.83,8533.9,0,On Time
900438,700088,2025-06-25,10589.84,10600.07,7,Late
900439,700088,2026-06-05,26826.89,23595.06,1,Late
900440,700088,2025-08-03,3545.94,3775.95,0,On Time
900441,700089,2022-03-18,27200.79,25455.66,0,On Time
900442,700089,2021-08-26,15993.1,14472.58,24,Late
900443,700089,2022-03-28,52148.78,54152.73,0,On Time
900444,700089,2022-06-21,12327.04,11669.85,15,Late
900445,700089,2021-03-04,5520.11,5384.24,0,On Time
900446,700090,2024-05-05,12460.03,11666.99,0,On Time
900447,700090,2024-04-04,12231.67,13567.2,14,Late
900448,700090,2023-12-09,17974.09,15598.85,0,On Time
900449,700090,2025-02-28,13515.18,13195.11,0,On Time
900450,700090,2025-01-06,15198.0,16489.48,0,On Time
900451,700091,2024-07-13,19967.14,8168.06,104,Severely Late
900452,700091,2024-12-17,21963.98,25250.31,0,On Time
900453,700091,2024-05-05,14833.78,16560.48,0,On Time
900454,700091,2023-07-31,15469.51,13657.77,0,On Time
900455,700091,2023-05-20,22708.58,25700.84,1,Late
900456,700092,2024-09-14,19717.66,19999.0,0,On Time
900457,700092,2023-01-06,40575.99,37543.11,25,Late
900458,700092,2022-12-07,17797.03,18709.51,0,On Time
900459,700092,2024-04-09,25663.64,26010.52,0,On Time
900460,700092,2023-04-03,14996.15,14356.26,0,On Time
900461,700093,2023-08-25,9826.55,11063.41,0,On Time
900462,700093,2023-11-18,23470.29,25416.47,0,On Time
900463,700093,2023-07-09,26457.46,25771.2,0,On Time
900464,700093,2022-08-25,8435.99,9216.2,0,On Time
900465,700093,2022-11-01,18024.72,16327.21,0,On Time
900466,700094,2027-02-20,18469.73,16225.39,0,On Time
900467,700094,2025-12-14,26968.47,25839.91,0,On Time
900468,700094,2026-10-16,20768.9,19116.82,0,On Time
900469,700094,2027-10-07,6536.26,6852.74,0,On Time
900470,700094,2027-07-07,9349.0,9615.88,0,On Time
900471,700095,2022-11-16,18757.08,20335.04,0,On Time
900472,700095,2023-08-16,12133.45,11031.51,0,On Time
900473,700095,2023-08-26,25978.71,24508.34,10,Late
900474,700095,2023-05-26,18654.06,18537.24,0,On Time
900475,700095,2023-01-24,27002.96,29384.09,0,On Time
900476,700096,2023-02-01,6557.74,7237.77,0,On Time
900477,700096,2022-04-21,16075.32,13894.61,29,Late
900478,700096,2024-05-08,12122.6,11517.19,0,On Time
900479,700096,2022-05-06,25434.09,9487.3,116,Severely Late
900480,700096,2024-01-01,25400.0,23942.86,38,Severely Late
900481,700097,2021-05-05,13286.1,6145.18,134,Severely Late
