loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,tenure_months,loan_date,maturity_date,loan_status,outstanding_amount,default_flag
700037,106902,29,Business,2687955.37,14.01,12,2024-01-03,2024-12-28,Closed,0.0,0
700038,104508,29,Personal,387342.91,12.97,120,2021-05-11,2031-03-20,Active,261453.51,0
700039,106119,11,Personal,538125.0,14.6,120,2022-10-29,2032-09-06,Active,442651.99,0
700040,100622,14,Personal,171769.97,14.57,180,2025-07-19,2040-05-01,Closed,0.0,0
700041,105863,40,Home,4094065.89,10.19,120,2024-04-13,2034-02-20,Active,3257269.24,0
700042,106951,11,Personal,211022.81,14.46,180,2023-12-21,2038-10-03,Closed,0.0,0
700043,105874,31,Business,2172373.54,11.66,24,2021-09-26,2023-09-16,Closed,0.0,0
700044,102386,35,Personal,118143.93,15.2,60,2023-07-14,2028-06-17,Active,47095.53,0
700045,104723,5,Personal,255079.47,13.01,180,2020-11-03,2035-08-17,Active,154068.77,0
700046,109011,10,Home,4460284.93,9.79,180,2024-08-21,2039-06-04,Active,1734375.62,0
700047,104986,1,Gold,456041.86,12.18,12,2020-02-19,2021-02-13,Active,421730.02,0
700048,100788,35,Personal,242450.51,12.57,84,2025-03-17,2032-02-09,Active,214298.05,0
700049,100306,29,Home,1876002.6,8.29,60,2021-07-27,2026-07-01,Active,302971.91,0
700050,107893,31,Auto,563439.18,10.26,84,2021-02-26,2028-01-21,Closed,0.0,0
700051,107500,35,Auto,988999.44,8.53,60,2024-11-12,2029-10-17,Active,687337.54,0
700052,105615,14,Personal,347776.39,12.09,12,2021-11-14,2022-11-09,Active,101469.2,0
700053,106525,17,Home,2484553.27,6.64,120,2025-02-08,2034-12-18,Closed,0.0,0
700054,100349,16,Auto,376887.05,6.74,48,2023-10-07,2027-09-16,Closed,0.0,0
700055,109176,3,Education,755116.41,5.5,36,2023-11-20,2026-11-04,Active,502906.76,0
700056,108321,6,Home,2062309.86,6.69,60,2020-08-07,2025-07-12,Closed,0.0,0
700057,109075,3,Education,438152.8,8.35,180,2024-08-13,2039-05-27,Closed,0.0,0
700058,101694,20,Auto,774828.24,11.29,180,2020-12-04,2035-09-17,Closed,0.0,0
700059,109722,5,Personal,310530.09,14.04,60,2022-11-16,2027-10-21,Active,72718.7,0
700060,107108,25,Gold,176426.43,9.71,120,2024-11-29,2034-10-08,Prepaid,0.0,0
700061,101114,30,Auto,735303.94,7.9,36,2025-08-25,2028-08-09,Active,121072.34,0
700062,107926,11,Gold,228769.45,11.64,48,2024-09-01,2028-08-11,Active,210933.53,0
700063,108795,25,Business,2377666.08,10.84,36,2023-07-26,2026-07-10,Prepaid,0.0,0
700064,104394,28,Personal,465135.7,12.61,48,2023-11-01,2027-10-11,Prepaid,0.0,0
700065,101496,33,Home,3552672.44,7.85,120,2024-10-30,2034-09-08,Default,2175450.93,1
700066,101856,12,Personal,265521.35,10.49,60,2022-07-05,2027-06-09,Active,126765.51,0
700067,107908,25,Personal,288975.96,14.98,36,2024-02-01,2027-01-16,Active,74409.88,0
700068,107657,30,Home,2106188.3,7.68,48,2023-11-07,2027-10-17,Active,1695034.41,0
700069,105609,11,Personal,123299.06,12.98,180,2023-12-20,2038-10-02,Active,47243.13,0
700070,105428,27,Auto,886722.69,8.15,12,2020-12-24,2021-12-19,Active,452244.71,0
700071,101470,2,Business,1457813.72,10.16,120,2021-05-15,2031-03-24,Prepaid,0.0,0
700072,108222,16,Personal,515797.28,11.74,60,2022-08-27,2027-08-01,Active,145243.11,0
700073,101395,13,Home,1586844.11,7.47,120,2025-08-09,2035-06-18,Active,1218010.28,0
700074,104739,27,Personal,246049.84,14.0,36,2022-05-05,2025-04-19,Prepaid,0.0,0
700075,104766,15,Gold,251854.66,10.8,36,2025-04-20,2028-04-04,Active,138784.74,0
700076,107657,18,Business,690412.76,12.49,48,2026-02-11,2030-01-21,Active,130892.15,0
700077,101398,34,Home,1574908.82,8.89,60,2024-03-14,2029-02-16,Active,1415540.51,0
700078,101914,7,Auto,497019.32,8.78,180,2021-07-30,2036-05-12,Active,203661.45,0
700079,109973,31,Business,3153826.16,10.23,12,2020-06-18,2021-06-13,Closed,0.0,0
700080,102500,2,Gold,215838.52,11.46,36,2024-11-17,2027-11-02,Active,82184.37,0
700081,105158,15,Home,2641317.76,9.07,24,2023-10-13,2025-10-02,Default,1891089.98,1
700082,109118,23,Home,1326380.68,10.36,120,2022-09-28,2032-08-06,Active,516591.63,0
700083,105554,25,Gold,221948.7,12.31,48,2025-09-28,2029-09-07,Active,108677.36,0
700084,102053,4,Personal,218587.33,11.69,48,2026-08-31,2030-08-10,Active,106531.12,0
700085,102482,28,Home,1486175.53,10.16,60,2025-07-03,2030-06-07,Active,940006.32,0
700086,100830,24,Personal,297951.9,,240,2024-04-20,2044-01-06,Closed,0.0,0
700087,109863,19,Personal,146928.03,13.29,84,2025-08-29,2032-07-23,Active,88593.19,0
700088,103447,30,Business,2274646.7,11.53,60,2025-03-06,2030-02-08,Active,1326140.85,0
700089,104712,15,Home,1590472.7,9.02,24,2020-07-15,2022-07-05,Prepaid,0.0,0
700090,104715,38,Personal,74814.42,15.11,36,2023-08-26,2026-08-10,Active,41056.05,0
700091,100149,5,Home,2922514.02,10.9,48,2023-04-03,2027-03-13,Closed,0.0,0
700092,106874,8,Home,1882162.58,13.12,240,2022-08-24,2042-05-11,Active,1090148.05,0
700093,105713,8,Personal,419488.11,11.99,24,2021-09-25,2023-09-15,Active,188753.46,0
700094,103570,19,Education,314163.93,5.69,60,2025-11-14,2030-10-19,Active,259496.08,0
700095,105265,39,Home,2076232.67,11.15,240,2021-09-13,2041-05-31,Active,822895.59,0
700096,104908,18,Gold,283807.94,10.25,84,2022-02-24,2029-01-18,Default,155826.78,1
700097,106060,32,Gold,348430.41,10.67,240,2021-02-09,2040-10-27,Prepaid,0.0,0
700098,103513,6,Business,1707032.45,9.86,36,2021-09-07,2024-08-22,Active,1340834.02,0
700099,105140,37,Personal,499540.12,14.33,36,2020-08-16,2023-08-01,Active,469261.56,0
700100,108361,10,Business,1121962.18,10.25,24,2023-09-29,2025-09-18,Active,911684.24,0
700101,107108,7,Personal,164851.96,14.38,60,2026-01-05,2030-12-10,Closed,0.0,0
700102,108627,33,Home,2717114.09,7.0,180,2024-12-13,2039-09-26,Prepaid,0.0,0
700103,104481,36,Home,3901759.15,6.69,12,2024-12-02,2025-11-27,Active,950166.75,0
700104,107097,20,Personal,258025.94,14.1,180,2025-12-19,2040-10-01,Prepaid,0.0,0
700105,109380,21,Gold,247012.29,13.47,240,2021-02-07,2040-10-25,Active,107692.82,0
700106,106255,37,Business,2083940.82,10.71,24,2025-11-09,2027-10-30,Active,1017656.46,0
700107,101044,7,Home,3218597.69,9.27,60,2026-01-28,2031-01-02,Closed,0.0,0
700108,105073,19,Personal,167271.03,12.4,60,2021-06-12,2026-05-17,Active,92845.61,0
700109,102722,27,Auto,922771.5,10.71,12,2021-08-31,2022-08-26,Active,679485.54,0
700110,101350,4,Personal,260892.35,14.56,36,2025-08-17,2028-08-01,Closed,0.0,0
700111,103259,34,Education,221680.93,11.84,240,2023-08-31,2043-05-18,Active,63072.1,0
700112,102826,29,Home,2449325.08,9.17,240,2025-08-03,2045-04-20,Active,979994.76,0
700113,105777,15,Home,3182998.13,7.62,120,2023-01-08,2032-11-16,Prepaid,0.0,0
700114,109289,23,Personal,160242.12,13.24,84,2020-07-20,2027-06-14,Active,101176.6,0
700115,106536,20,Business,2829978.73,11.85,36,2024-12-22,2027-12-07,Closed,0.0,0
700116,107342,28,Personal,205733.67,14.16,240,2021-09-17,2041-06-04,Active,157309.38,0
700117,103523,1,Auto,566714.68,11.27,48,2025-10-24,2029-10-03,Active,508705.03,0
700118,102490,30,Gold,338207.25,10.71,60,2025-05-29,2030-05-03,Default,243503.89,1
700119,109538,37,Business,2669916.6,13.52,48,2021-04-18,2025-03-28,Closed,0.0,0
700120,105865,25,Personal,237273.53,13.35,84,2022-05-21,2029-04-14,Closed,0.0,0
700121,108732,10,Home,2860222.1,9.84,12,2024-08-03,2025-07-29,Active,1051357.41,0
700122,105990,29,Gold,1015551.1,10.58,36,2026-07-13,2029-06-27,Active,621950.07,0
700123,100150,4,Personal,397364.5,12.46,48,2022-09-02,2026-08-12,Closed,0.0,0
700124,107430,31,Auto,817334.92,8.27,36,2022-12-24,2025-12-08,Active,353992.86,0
700125,106233,8,Home,4031473.77,8.77,12,2025-09-23,2026-09-18,Active,1388456.58,0
700126,100924,11,Home,2310683.07,7.14,120,2024-02-10,2033-12-19,Default,1134120.69,1
700127,107258,5,Home,1676963.28,8.68,240,2022-07-24,2042-04-10,Active,1205107.08,0
700128,101903,8,Personal,197258.95,13.43,84,2021-10-01,2028-08-25,Prepaid,0.0,0
700129,101479,31,Personal,283332.62,13.36,180,2024-02-27,2038-12-10,Closed,0.0,0
700130,109635,33,Personal,250105.79,12.36,60,2023-02-22,2028-01-27,Closed,0.0,0
700131,102184,31,Personal,180371.41,13.02,180,2021-03-02,2035-12-14,Prepaid,0.0,0
700132,104781,39,Personal,200854.69,11.5,180,2024-06-19,2039-04-02,Default,159968.44,1
700133,109119,1,Personal,272688.15,10.95,48,2021-12-26,2025-12-05,Active,256948.12,0
700134,109136,5,Personal,273646.85,14.01,60,2023-01-06,2027-12-11,Default,204175.53,1
700135,103527,3,Gold,523482.39,9.18,240,2021-12-03,2041-08-20,Active,295602.34,0
700136,105210,38,Education,767023.19,7.25,240,2023-06-18,2043-03-05,Closed,0.0,0
700137,108027,39,Gold,446294.87,13.21,12,2020-06-14,2021-06-09,Active,236499.84,0
700138,102215,18,Gold,498856.08,8.17,24,2025-04-24,2027-04-14,Active,289513.61,0
700139,109597,1,Auto,508518.77,9.09,180,2020-12-27,2035-10-10,Active,199154.13,0
700140,106511,18,Home,2753130.87,8.18,12,2024-06-14,2025-06-09,Active,1980262.83,0
700141,103756,37,Home,2406751.58,9.97,180,2025-06-16,2040-03-29,Active,1024656.15,0
700142,101174,15,Auto,624937.47,10.17,36,2025-10-14,2028-09-28,Active,578623.65,0
700143,103426,12,Education,743538.95,7.25,36,2024-08-22,2027-08-07,Active,575001.11,0
700144,109462,32,Personal,153723.66,12.79,60,2022-07-21,2027-06-25,Closed,0.0,0
700145,104229,34,Home,3157453.87,6.95,120,2022-05-28,2032-04-05,Active,721980.65,0
700146,109276,33,Personal,374267.4,10.3,180,2022-11-01,2037-08-14,Prepaid,0.0,0
700147,104976,22,Auto,643605.06,,12,2024-08-05,2025-07-31,Active,293863.27,0
700148,107693,3,Business,1364550.12,10.04,60,2024-08-06,2029-07-11,Active,746324.02,0
700149,102063,39,Home,3509135.73,8.57,240,2025-09-02,2045-05-20,Active,1969065.22,0
700150,102319,18,Home,1212965.97,9.43,120,2024-08-09,2034-06-18,Active,979383.01,0
700151,104900,24,Personal,344338.97,13.33,36,2021-04-08,2024-03-23,Active,89973.87,0
700152,103103,27,Personal,153629.1,11.26,84,2026-05-09,2033-04-02,Active,133937.68,0
700153,105202,17,Personal,259395.71,12.92,84,2025-09-04,2032-07-29,Active,212682.86,0
700154,103227,39,Auto,286754.56,10.12,12,2023-08-12,2024-08-06,Active,133759.2,0
700155,101062,9,Auto,635592.69,7.77,60,2020-06-15,2025-05-20,Active,302789.45,0
700156,104211,18,Personal,136753.93,13.58,24,2023-01-03,2024-12-23,Active,116872.48,0
700157,109888,3,Business,2035127.24,11.13,48,2022-02-10,2026-01-20,Active,1191062.06,0
700158,102967,8,Personal,107727.27,12.28,240,2023-09-24,2043-06-11,Default,96225.53,1
700159,101465,36,Home,3912662.74,6.88,48,2023-07-31,2027-07-10,Active,1385662.08,0
700160,101940,36,Gold,196518.89,8.72,36,2021-02-13,2024-01-29,Prepaid,0.0,0
700161,107443,38,Auto,702109.72,9.35,240,2021-05-21,2041-02-05,Active,499633.67,0
700162,108518,32,Home,3802959.71,9.85,180,2020-07-30,2035-05-13,Closed,0.0,0
700163,108694,23,Personal,174008.4,13.25,240,2021-07-22,2041-04-08,Active,122241.49,0
700164,104482,17,Auto,685493.61,8.25,36,2020-09-02,2023-08-18,Prepaid,0.0,0
700165,103122,19,Business,860184.49,11.5,36,2025-10-19,2028-10-03,Active,518198.23,0
700166,109255,8,Personal,185776.38,12.43,48,2020-11-14,2024-10-24,Active,167576.51,0
700167,100069,29,Auto,397355.63,11.03,36,2020-08-16,2023-08-01,Active,129289.37,0
700168,101925,33,Business,1213694.99,10.88,48,2024-11-12,2028-10-22,Closed,0.0,0
700169,103193,34,Gold,214284.25,9.89,84,2025-03-23,2032-02-15,Active,113968.53,0
700170,106472,13,Auto,1272422.56,11.45,60,2021-11-12,2026-10-17,Prepaid,0.0,0
700171,108860,30,Personal,236090.63,12.87,36,2023-01-27,2026-01-11,Active,150200.4,0
700172,107003,7,Education,356801.1,6.77,24,2026-06-13,2028-06-02,Active,102021.14,0
700173,106917,12,Gold,347908.43,9.53,12,2024-03-21,2025-03-16,Active,264091.24,0
700174,100176,27,Personal,206132.98,13.78,36,2021-09-27,2024-09-11,Active,136463.04,0
700175,106849,13,Personal,294949.63,11.01,36,2024-06-30,2027-06-15,Default,66415.42,1
700176,109811,4,Personal,292455.86,12.66,120,2021-06-20,2031-04-29,Prepaid,0.0,0
700177,104035,6,Gold,239370.77,12.26,240,2023-04-21,2043-01-06,Active,200708.08,0
700178,101801,16,Home,1610985.36,5.5,48,2023-04-30,2027-04-09,Active,1527114.75,0
700179,101098,23,Personal,222242.61,13.33,60,2023-10-01,2028-09-04,Active,185157.07,0
700180,108141,10,Gold,317608.83,11.42,180,2024-07-21,2039-05-04,Active,141024.7,0
700181,104993,15,Business,1316077.82,11.3,60,2023-02-10,2028-01-15,Closed,0.0,0
700182,102384,13,Auto,835388.79,9.26,12,2024-03-14,2025-03-09,Active,505930.84,0
700183,104104,7,Personal,137596.72,14.75,120,2026-02-06,2035-12-16,Closed,0.0,0
700184,108487,2,Gold,214961.47,8.81,36,2024-12-29,2027-12-14,Active,174707.2,0
700185,100141,26,Home,2222220.18,9.46,36,2023-03-08,2026-02-20,Closed,0.0,0
700186,107392,26,Personal,152478.4,12.54,84,2025-04-17,2032-03-11,Active,83654.93,0
700187,102077,24,Personal,232491.8,10.89,60,2024-01-15,2028-12-19,Closed,0.0,0
700188,101227,16,Gold,132944.53,10.62,48,2025-07-22,2029-07-01,Active,58725.14,0
700189,108702,37,Business,3319910.49,13.36,84,2025-04-30,2032-03-24,Active,1521398.86,0
700190,103359,14,Personal,268691.22,16.17,36,2024-08-26,2027-08-11,Active,96363.45,0
700191,106508,16,Personal,400246.0,11.63,84,2025-12-22,2032-11-15,Active,67379.17,0
700192,107501,15,Education,513107.25,8.89,120,2024-07-18,2034-05-27,Closed,0.0,0
700193,109074,20,Gold,291585.67,10.86,36,2026-08-21,2029-08-05,Closed,0.0,0
700194,102141,26,Personal,391740.86,14.05,240,2023-01-16,2042-10-03,Closed,0.0,0
700195,108422,36,Education,900789.42,5.5,36,2020-11-15,2023-10-31,Active,562009.45,0
700196,106549,1,Education,478164.21,9.08,60,2023-12-31,2028-12-04,Active,223445.54,0
700197,104777,5,Personal,175268.07,11.1,24,2025-04-07,2027-03-28,Active,94904.07,0
700198,104927,22,Gold,391808.85,12.67,36,2024-09-13,2027-08-29,Active,297993.83,0
700199,106275,22,Personal,372028.33,10.02,60,2024-10-02,2029-09-06,Active,195184.27,0
700200,103988,22,Business,2328776.47,6.82,24,2024-05-31,2026-05-21,Active,1166780.41,0
700201,101085,32,Auto,442912.5,10.82,48,2025-05-20,2029-04-29,Active,328130.11,0
700202,101107,24,Education,555134.49,9.64,36,2025-05-23,2028-05-07,Active,398192.0,0
700203,107040,5,Home,2721883.73,9.2,48,2022-09-08,2026-08-18,Active,2113612.54,0
700204,100826,18,Personal,396447.09,12.53,120,2026-02-19,2035-12-29,Active,60821.01,0
700205,109119,39,Home,884850.54,6.66,36,2025-12-17,2028-12-01,Closed,0.0,0
700206,104291,23,Auto,400956.09,11.72,12,2022-08-15,2023-08-10,Prepaid,0.0,0
700207,104817,21,Gold,196476.29,8.87,60,2026-02-11,2031-01-16,Active,108998.69,0
700208,103988,16,Home,2365425.82,9.4,60,2026-09-04,2031-08-09,Active,1494873.46,0
700209,101960,23,Home,3494308.69,9.56,24,2024-06-04,2026-05-25,Active,2721337.96,0
700210,100443,8,Auto,1730860.48,10.19,36,2023-02-12,2026-01-27,Active,1617093.04,0
700211,103864,32,Personal,257901.05,12.43,48,2022-10-21,2026-09-30,Active,222231.18,0
700212,102628,6,Education,871669.33,6.62,180,2021-02-04,2035-11-18,Active,562920.34,0
700213,104460,21,Home,2549280.93,7.11,240,2022-03-19,2041-12-04,Active,1827587.12,0
700214,103021,13,Home,1951445.47,10.35,36,2021-11-19,2024-11-03,Active,1073939.26,0
700215,107560,3,Home,2353838.04,6.05,60,2024-08-02,2029-07-07,Active,1952938.57,0
700216,102870,19,Personal,155377.9,10.4,48,2022-08-26,2026-08-05,Closed,0.0,0
700217,108968,10,Personal,291772.15,13.23,240,2022-05-20,2042-02-04,Active,275712.35,0
700218,109836,20,Business,1777759.66,11.81,24,2020-08-21,2022-08-11,Closed,0.0,0
700219,101077,6,Personal,308115.29,11.65,60,2022-12-31,2027-12-05,Active,196388.2,0
700220,109092,23,Gold,383094.44,8.98,36,2022-09-09,2025-08-24,Active,205756.01,0
700221,104422,31,Business,2057226.32,10.48,24,2022-05-31,2024-05-20,Active,1084399.16,0
700222,106641,24,Auto,361377.08,9.49,48,2023-08-27,2027-08-06,Active,89997.09,0
700223,105812,28,Personal,195237.13,14.05,48,2022-05-09,2026-04-18,Active,119374.75,0
700224,103199,23,Personal,544508.32,13.65,36,2025-01-10,2027-12-26,Closed,0.0,0
700225,104807,23,Home,3573149.1,10.23,36,2023-09-14,2026-08-29,Active,1288691.63,0
700226,102860,35,Gold,137159.91,11.78,240,2020-09-12,2040-05-30,Closed,0.0,0
700227,109825,30,Home,3841604.21,,84,2025-12-25,2032-11-18,Active,2398899.15,0
700228,101412,1,Business,1338265.82,10.84,36,2025-08-23,2028-08-07,Active,682239.53,0
700229,103532,9,Home,958000.68,8.52,12,2026-06-26,2027-06-21,Closed,0.0,0
700230,100099,18,Personal,183868.68,13.75,24,2025-09-15,2027-09-05,Active,121569.26,0
700231,106099,19,Auto,825075.66,10.29,48,2024-08-10,2028-07-20,Active,212825.94,0
700232,103618,10,Gold,688547.39,12.92,36,2020-09-11,2023-08-27,Active,254488.32,0
700233,107133,38,Personal,203199.33,12.69,120,2026-01-17,2035-11-26,Closed,0.0,0
700234,108972,25,Education,603540.15,7.67,24,2022-01-08,2023-12-29,Active,461691.51,0
700235,103859,31,Gold,489134.76,8.52,12,2024-01-23,2025-01-17,Active,418747.1,0
700236,106230,22,Personal,259048.08,11.89,36,2024-05-20,2027-05-05,Active,81720.21,0
700237,107813,18,Education,1031296.18,5.98,24,2024-02-08,2026-01-28,Active,324642.67,0
700238,101136,16,Personal,307629.85,12.55,120,2020-10-10,2030-08-19,Active,162963.8,0
700239,100193,12,Gold,719922.41,7.75,48,2023-09-28,2027-09-07,Active,653224.54,0
700240,105685,7,Gold,181441.16,11.94,60,2022-02-14,2027-01-19,Active,138784.75,0
700241,101254,28,Auto,282796.76,11.22,60,2022-06-18,2027-05-23,Active,76146.83,0
700242,101706,18,Home,1553380.46,8.24,48,2021-08-08,2025-07-18,Closed,0.0,0
700243,107040,6,Home,2351292.49,7.58,36,2024-01-05,2026-12-20,Prepaid,0.0,0
700244,103206,31,Personal,158755.17,12.86,60,2021-09-07,2026-08-12,Active,57604.55,0
700245,104239,16,Personal,772987.66,10.06,48,2021-05-17,2025-04-26,Active,360534.08,0
700246,101482,20,Home,3114759.59,11.0,36,2025-05-06,2028-04-20,Active,665636.63,0
700247,109785,23,Personal,544705.74,11.95,120,2020-06-02,2030-04-11,Active,498616.26,0
700248,100443,28,Auto,601020.56,10.65,12,2024-04-20,2025-04-15,Prepaid,0.0,0
700249,101595,9,Personal,182032.98,10.78,12,2025-04-23,2026-04-18,Active,82152.85,0
700250,101853,20,Gold,171221.05,10.9,36,2020-07-07,2023-06-22,Active,160319.15,0
700251,108988,32,Education,409519.76,6.3,36,2021-05-03,2024-04-17,Active,255936.79,0
700252,106036,30,Auto,390828.89,8.61,60,2024-12-06,2029-11-10,Prepaid,0.0,0
700253,108371,19,Personal,181781.28,10.3,48,2023-07-29,2027-07-08,Closed,0.0,0
700254,102824,2,Home,1612584.42,10.14,240,2024-03-05,2043-11-21,Active,695595.98,0
700255,104014,16,Personal,234353.68,8.06,36,2024-02-11,2027-01-26,Active,118105.81,0
700256,108557,7,Personal,426135.56,12.77,36,2020-08-31,2023-08-16,Active,261995.22,0
700257,108657,16,Personal,157302.57,13.69,36,2024-06-11,2027-05-27,Active,125489.87,0
700258,104146,17,Personal,310532.14,13.62,180,2023-06-29,2038-04-11,Prepaid,0.0,0
700259,103412,5,Home,1312874.6,9.55,48,2021-09-24,2025-09-03,Active,423419.28,0
700260,102039,22,Personal,194615.42,13.92,12,2025-05-21,2026-05-16,Active,136541.98,0
700261,100357,15,Gold,272746.11,12.25,84,2026-03-10,2033-02-01,Active,41447.71,0
700262,102124,22,Business,1459842.52,12.82,180,2026-09-06,2041-06-19,Prepaid,0.0,0
700263,108024,33,Auto,651563.44,6.61,36,2020-10-02,2023-09-17,Prepaid,0.0,0
700264,105308,27,Home,5005886.76,8.14,48,2024-02-17,2028-01-27,Active,4506992.76,0
700265,104539,30,Personal,227004.53,13.51,180,2025-07-06,2040-04-18,Closed,0.0,0
700266,107829,12,Personal,186167.02,13.93,24,2024-07-21,2026-07-11,Active,167622.78,0
700267,105312,30,Business,2772260.85,9.75,36,2020-02-02,2023-01-17,Active,2469124.12,0
700268,102252,4,Home,2523791.38,12.39,36,2022-02-02,2025-01-17,Active,1844372.91,0
700269,103250,18,Personal,283331.09,12.31,60,2020-04-04,2025-03-09,Active,266231.53,0
700270,108655,3,Home,2592730.54,6.84,240,2021-10-29,2041-07-16,Closed,0.0,0
700271,106523,18,Personal,204695.44,12.7,36,2022-08-28,2025-08-12,Active,150670.92,0
700272,100844,20,Gold,256042.61,11.65,240,2022-08-03,2042-04-20,Prepaid,0.0,0
700273,102641,22,Personal,197112.59,10.07,84,2023-10-30,2030-09-23,Active,171402.99,0
700274,101359,8,Auto,1136131.27,8.85,60,2020-02-16,2025-01-20,Active,737884.36,0
700275,105128,39,Auto,769438.9,8.18,120,2026-06-06,2036-04-14,Active,442807.74,0
700276,107631,36,Auto,1001774.17,10.82,180,2023-10-02,2038-07-15,Active,916073.57,0
700277,109078,14,Auto,1569401.4,10.73,24,2022-11-10,2024-10-30,Active,408297.57,0
700278,106344,28,Auto,1286169.83,8.4,24,2025-03-24,2027-03-14,Closed,0.0,0
700279,107509,30,Personal,617269.41,13.09,60,2025-02-02,2030-01-07,Active,392794.46,0
700280,105431,9,Auto,586365.76,8.09,48,2025-05-03,2029-04-12,Active,303858.95,0
700281,100739,30,Auto,649776.19,9.45,36,2021-08-14,2024-07-29,Closed,0.0,0
700282,102587,8,Education,732397.33,9.23,180,2021-10-31,2036-08-13,Prepaid,0.0,0
700283,102685,23,Gold,875875.76,9.66,24,2026-02-21,2028-02-11,Active,599298.73,0
700284,107800,8,Business,1614075.33,13.72,84,2025-09-08,2032-08-02,Default,1339516.35,1
700285,100231,8,Auto,619752.53,8.24,60,2021-09-02,2026-08-07,Active,186903.98,0
700286,105044,4,Education,769309.82,9.01,36,2021-11-09,2024-10-24,Active,705399.92,0
700287,100720,23,Auto,1487329.86,8.45,24,2024-08-21,2026-08-11,Active,511209.14,0
700288,102181,26,Personal,180671.67,12.85,48,2024-03-04,2028-02-12,Active,106828.37,0
700289,105917,33,Auto,602154.69,11.77,24,2026-03-25,2028-03-14,Prepaid,0.0,0
700290,108188,2,Personal,175452.22,10.77,24,2021-03-18,2023-03-08,Closed,0.0,0
700291,101120,30,Home,3120585.35,6.19,36,2026-05-05,2029-04-19,Active,2659932.9,0
700292,104384,25,Auto,253849.52,5.87,60,2021-05-14,2026-04-18,Prepaid,0.0,0
700293,107062,39,Personal,189092.73,10.44,24,2026-03-03,2028-02-21,Default,69696.36,1
