transaction_id,account_id,transaction_date,transaction_type,amount,merchant_category,channel,transaction_status
1200027,505958,2025-04-12 20:22:30,Payment,1376.92,Groceries,Branch,Success
1200028,502660,2025-07-21 10:22:33,Deposit,21536.54,Shopping,Mobile,Success
1200029,504451,2025-06-09 08:58:13,Deposit,1128.52,Utilities,Internet Banking,Success
1200030,513972,2025-11-27 19:52:03,Transfer,1568.14,Groceries,POS,Success
1200031,511625,2025-08-19 20:45:52,Transfer,1648.98,Dining,UPI,Success
1200032,502096,2025-09-06 11:29:52,Deposit,6798.25,Shopping,Internet Banking,Success
1200033,502770,2025-12-27 12:55:21,Payment,2986.4,Travel,Internet Banking,Success
1200034,512113,2025-03-23 04:30:12,Payment,5978.45,Shopping,ATM,Success
1200035,513383,2025-12-09 18:36:35,Withdrawal,8251.24,Utilities,UPI,Success
1200036,505492,2025-02-07 03:35:13,Interest,4028.69,Travel,UPI,Success
1200037,505043,2025-02-05 15:40:41,Payment,2227.0,Dining,ATM,Success
1200038,501418,2025-07-02 13:46:49,Interest,20601.58,Education,ATM,Success
1200039,506267,2025-03-11 21:25:22,Fee,4509.0,Shopping,POS,Success
1200040,512327,2025-12-26 15:33:40,Deposit,4023.5,Fuel,ATM,Success
1200041,513213,2025-09-20 15:29:49,Fee,852.43,Education,UPI,Success
1200042,507200,2025-08-23 21:13:30,Transfer,9489.84,Fuel,POS,Success
1200043,504169,2025-05-10 18:15:40,Fee,24944.78,Travel,Internet Banking,Success
1200044,503845,2025-07-22 01:38:28,Withdrawal,1139.96,Dining,Mobile,Success
1200045,512231,2025-11-17 14:42:35,Deposit,3413.14,Shopping,UPI,Success
1200046,510897,2025-11-10 06:06:35,Transfer,18237.09,Dining,POS,Success
1200047,506960,2025-12-18 17:14:04,Payment,2519.11,Healthcare,ATM,Success
1200048,501069,2025-07-31 05:08:18,Payment,4449.01,Other,ATM,Success
1200049,512177,2025-10-27 08:10:01,Deposit,2130.93,Other,ATM,Success
1200050,511701,2025-08-04 22:03:19,Transfer,2456.42,Utilities,POS,Success
1200051,501079,2025-12-09 03:26:18,Deposit,6720.73,Dining,Branch,Success
1200052,505240,2025-02-05 20:22:23,Withdrawal,2519.27,Other,Internet Banking,Success
1200053,503392,2025-03-15 06:50:12,Interest,7350.82,Shopping,POS,Success
1200054,513531,2025-11-08 02:17:45,Transfer,12109.08,Healthcare,ATM,Failed
1200055,513241,2025-03-24 22:43:21,Withdrawal,23604.48,Shopping,UPI,Success
1200056,500241,2025-03-08 16:45:01,Interest,10665.71,Healthcare,Internet Banking,Success
1200057,502460,2025-07-06 12:04:11,Interest,5406.72,Shopping,Mobile,Success
1200058,509332,2025-06-01 07:30:08,Payment,17128.13,Dining,Branch,Success
1200059,502640,2025-07-29 14:21:53,Deposit,1739.79,Utilities,POS,Success
1200060,500854,2025-03-25 18:03:46,Payment,1701.54,Education,ATM,Success
1200061,504048,2025-01-22 04:25:25,Withdrawal,2005.88,Fuel,POS,Success
1200062,511775,2025-12-20 14:47:38,Interest,19231.52,Utilities,ATM,Success
1200063,509109,2025-08-28 02:57:04,Payment,12375.95,Other,ATM,Success
1200064,508924,2025-03-09 04:42:51,Payment,3694.8,Fuel,POS,Success
1200065,509063,2025-01-02 04:06:09,Transfer,1079.36,Shopping,POS,Success
1200066,513694,2025-12-25 00:34:56,Withdrawal,3813.07,Fuel,Mobile,Success
1200067,506572,2025-07-19 17:56:31,Deposit,1406.91,Other,UPI,Success
1200068,506752,2025-03-14 20:53:13,Deposit,20199.23,Education,Internet Banking,Success
1200069,509150,2025-07-30 09:03:57,Transfer,1625.67,Education,Mobile,Success
1200070,504261,2025-06-28 02:24:43,Deposit,3014.71,Education,Internet Banking,Success
1200071,500728,2025-01-17 13:43:24,Fee,18646.39,Dining,Branch,Success
1200072,511975,2025-03-28 18:53:21,Deposit,6548.2,Shopping,POS,Success
1200073,505272,2025-10-28 14:09:53,Transfer,21020.82,Fuel,UPI,Reversed
1200074,505736,2025-04-05 20:38:15,Deposit,4211.11,Utilities,Branch,Success
1200075,510481,2025-02-05 01:25:51,Withdrawal,904.47,Shopping,UPI,Success
1200076,503927,2025-04-28 05:21:09,Deposit,8301.31,Groceries,Internet Banking,Success
1200077,513021,2025-04-30 08:07:11,Withdrawal,3797.9,Groceries,POS,Success
1200078,507128,2025-11-30 07:53:38,Payment,6679.65,Travel,Mobile,Success
1200079,508468,2025-08-19 07:38:58,Payment,6865.31,Fuel,UPI,Success
1200080,500518,2025-01-08 02:39:59,Interest,5207.31,Travel,ATM,Success
1200081,507909,2025-09-29 19:58:40,Transfer,20195.88,Shopping,Internet Banking,Success
1200082,507414,2025-03-18 23:32:01,Transfer,3740.62,Fuel,POS,Success
1200083,506977,2025-08-27 12:02:11,Withdrawal,15613.46,Other,UPI,Success
1200084,500816,2025-06-01 11:04:00,Transfer,20458.57,Education,POS,Success
1200085,510451,2025-08-12 09:44:44,Interest,53370.12,Other,Internet Banking,Success
1200086,502003,2025-08-19 22:27:44,Interest,2962.79,Utilities,POS,Success
1200087,509127,2025-04-24 15:24:42,Transfer,22591.71,Healthcare,UPI,Success
1200088,500052,2025-12-24 02:05:36,Interest,4350.45,Utilities,UPI,Success
1200089,511968,2025-05-28 17:31:29,Deposit,2157.62,Fuel,UPI,Success
1200090,506258,2025-04-13 12:01:39,Payment,1828.47,Education,ATM,Success
1200091,503266,2025-10-28 16:47:13,Fee,7794.94,Healthcare,UPI,Success
1200092,503539,2025-03-07 23:03:38,Transfer,4496.72,Groceries,Mobile,Success
1200093,505666,2025-11-05 02:48:40,Deposit,11088.98,Groceries,Mobile,Success
1200094,502446,2025-08-07 11:37:37,Payment,8829.79,Other,UPI,Success
1200095,512746,2025-08-25 19:05:30,Withdrawal,5335.95,Travel,ATM,Success
1200096,507446,2025-03-20 14:15:13,Withdrawal,3708.42,Other,Internet Banking,Success
1200097,502307,2025-05-22 00:43:09,Withdrawal,1601.03,Healthcare,UPI,Success
1200098,509744,2025-01-13 04:05:46,Deposit,6388.71,Groceries,Branch,Success
1200099,510742,2025-08-20 11:09:30,Payment,3215.65,Dining,POS,Success
1200100,505008,2025-03-18 03:27:09,Withdrawal,3018.29,Fuel,POS,Success
1200101,508791,2025-05-24 11:16:47,Deposit,2909.6,Healthcare,ATM,Success
1200102,507129,2025-11-30 15:49:50,Fee,8615.81,Groceries,POS,Success
1200103,502757,2025-02-28 13:12:02,Withdrawal,2056.21,Shopping,Mobile,Reversed
1200104,510816,2025-03-11 13:34:37,Transfer,11950.98,Shopping,UPI,Success
1200105,511304,2025-09-29 07:57:25,Deposit,2359.93,Shopping,UPI,Success
1200106,513976,2025-08-16 03:41:44,Transfer,2434.01,Healthcare,UPI,Success
1200107,503961,2025-09-19 00:13:57,Transfer,12933.73,Education,ATM,Success
1200108,509834,2025-01-03 07:16:38,Withdrawal,10950.85,Education,UPI,Success
1200109,505141,2025-09-29 01:09:28,Withdrawal,6907.56,Shopping,UPI,Success
1200110,510535,2025-11-23 14:20:11,Fee,2396.01,Education,Internet Banking,Success
1200111,503684,2025-03-12 12:28:52,Transfer,18146.37,Education,UPI,Success
1200112,511605,2025-08-22 22:04:56,Withdrawal,2221.6,Utilities,ATM,Success
1200113,508784,2025-06-27 05:09:56,Fee,10809.43,Travel,POS,Success
1200114,504124,2025-08-24 09:10:38,Withdrawal,4768.93,Other,POS,Success
1200115,503276,2025-06-03 14:54:35,Interest,11851.69,Healthcare,ATM,Success
1200116,501011,2025-01-23 09:35:34,Transfer,5489.81,Utilities,Mobile,Success
1200117,502400,2025-04-21 04:40:26,Withdrawal,14188.35,Fuel,UPI,Failed
1200118,510597,2025-12-31 03:17:48,Deposit,3404.08,Other,ATM,Success
1200119,504071,2025-09-24 15:33:58,Transfer,12270.55,Dining,UPI,Success
1200120,510809,2025-09-19 21:11:17,Transfer,25474.42,Other,POS,Success
1200121,511840,2025-04-10 03:09:28,Withdrawal,1456.14,Other,ATM,Success
1200122,507136,2025-08-27 17:29:40,Transfer,2028.29,Education,ATM,Success
1200123,507094,2025-03-22 11:09:40,Withdrawal,2250.64,Other,UPI,Success
1200124,512381,2025-10-14 06:14:11,Deposit,7726.43,Utilities,ATM,Success
1200125,504858,2025-06-24 05:58:19,Transfer,4955.65,Other,Mobile,Success
1200126,513253,2025-05-23 14:12:45,Withdrawal,8730.1,Groceries,Internet Banking,Success
1200127,504607,2025-07-26 09:08:05,Withdrawal,5016.97,Shopping,ATM,Success
1200128,503493,2025-05-25 16:37:44,Payment,2215.64,Dining,ATM,Success
1200129,502018,2025-05-02 13:10:45,Payment,1906.71,Shopping,UPI,Failed
1200130,506709,2025-12-16 20:15:17,Withdrawal,24627.07,Utilities,UPI,Success
1200131,506872,2025-09-27 16:13:58,Deposit,1731.67,Dining,Branch,Success
1200132,501155,2025-07-26 03:38:37,Transfer,4192.35,Education,UPI,Success
1200133,500479,2025-03-30 10:11:00,Transfer,5454.81,Education,Internet Banking,Failed
1200134,512492,2025-01-13 05:20:22,Transfer,7229.61,Education,UPI,Success
1200135,511084,2025-08-06 11:02:26,Withdrawal,923.3,Groceries,UPI,Success
1200136,511966,2025-03-28 07:39:17,Deposit,2952.32,Utilities,Mobile,Success
1200137,509495,2025-01-07 03:21:21,Withdrawal,6060.78,Healthcare,POS,Success
1200138,509684,2025-12-01 23:21:12,Payment,4188.3,Fuel,UPI,Success
1200139,512082,2025-12-26 03:31:53,Transfer,6977.99,Groceries,Mobile,Success
1200140,511626,2025-12-22 19:06:22,Payment,1869.85,Healthcare,UPI,Success
1200141,506674,2025-06-01 03:28:42,Deposit,6185.8,Fuel,Internet Banking,Success
1200142,513795,2025-09-05 00:17:11,Withdrawal,6598.81,Utilities,POS,Success
1200143,510531,2025-09-06 12:30:57,Payment,25514.95,Other,POS,Success
1200144,507379,2025-08-10 01:07:18,Payment,1039.03,Other,ATM,Success
1200145,511534,2025-05-09 02:58:04,Deposit,4160.6,Travel,UPI,Success
1200146,502175,2025-11-18 19:21:00,Transfer,14847.46,Healthcare,UPI,Success
1200147,505661,2025-08-13 02:04:48,Withdrawal,20595.08,Healthcare,Mobile,Success
1200148,505224,2025-01-14 09:46:47,Withdrawal,1194.97,Shopping,Internet Banking,Success
1200149,511756,2025-09-28 09:25:12,Interest,4959.47,Groceries,UPI,Success
1200150,508139,2025-09-28 15:24:55,Payment,5750.08,Groceries,UPI,Success
1200151,509210,2025-09-26 04:58:50,Deposit,9407.41,Dining,UPI,Success
1200152,502915,2025-04-12 23:13:31,Deposit,7482.92,Travel,UPI,Success
1200153,511547,2025-01-03 03:07:03,Payment,4439.71,Dining,UPI,Success
1200154,502202,2025-02-01 19:54:30,Withdrawal,4925.89,Fuel,ATM,Success
1200155,506086,2025-04-10 20:09:48,Withdrawal,6864.76,Healthcare,Mobile,Success
1200156,504922,2025-07-17 21:03:45,Transfer,3141.52,Utilities,POS,Success
1200157,510050,2025-01-08 03:29:16,Fee,21258.94,Travel,Mobile,Success
1200158,504818,2025-07-26 04:16:52,Deposit,3086.85,Groceries,Internet Banking,Success
1200159,513006,2025-04-14 07:03:59,Transfer,13857.93,Travel,Internet Banking,Success
1200160,505531,2025-10-22 14:47:29,Withdrawal,25605.5,Shopping,UPI,Success
1200161,509332,2025-12-30 17:12:29,Transfer,22647.46,Travel,UPI,Success
1200162,502796,2025-03-01 13:06:42,Deposit,15413.09,Other,POS,Success
1200163,510466,2025-01-14 06:46:00,Payment,1277.54,Dining,Mobile,Success
1200164,504436,2025-04-17 05:33:52,Transfer,19661.21,Utilities,POS,Success
1200165,503300,2025-04-14 06:45:54,Interest,5663.0,Groceries,UPI,Success
1200166,507309,2025-12-11 10:53:20,Withdrawal,3814.96,Education,Internet Banking,Success
1200167,506592,2025-03-11 05:27:57,Transfer,9923.6,Healthcare,Branch,Failed
1200168,500437,2025-03-20 15:55:25,Transfer,10627.37,Other,Internet Banking,Success
1200169,512767,2025-04-10 12:08:26,Payment,2263.77,Dining,POS,Success
1200170,505222,2025-06-16 19:39:06,Payment,988.52,Utilities,Internet Banking,Success
1200171,506574,2025-06-24 14:21:37,Fee,2071.04,Education,Mobile,Success
1200172,504960,2025-10-11 21:28:03,Payment,10263.88,Shopping,ATM,Success
1200173,507854,2025-01-04 04:09:31,Withdrawal,1083.51,Healthcare,UPI,Success
1200174,512962,2025-05-25 14:15:11,Deposit,5671.53,Fuel,Mobile,Success
1200175,501476,2025-03-01 03:48:13,Transfer,16722.16,Shopping,POS,Success
1200176,509303,2025-12-02 23:44:56,Deposit,2533.23,Healthcare,Internet Banking,Success
1200177,507175,2025-05-27 20:02:33,Deposit,1454.31,Healthcare,UPI,Success
1200178,506246,2025-06-09 06:27:52,Withdrawal,3362.16,Dining,UPI,Success
1200179,504225,2025-03-31 02:05:54,Transfer,3471.36,Dining,POS,Success
1200180,503843,2025-09-16 05:11:06,Withdrawal,11042.85,Utilities,UPI,Success
1200181,508244,2025-12-29 00:34:13,Interest,23050.05,Dining,UPI,Success
1200182,500822,2025-04-07 18:21:17,Withdrawal,4564.35,Dining,UPI,Success
1200183,503981,2025-08-28 17:55:20,Withdrawal,15958.29,Education,POS,Success
1200184,508241,2025-07-01 01:01:29,Deposit,4937.75,Groceries,ATM,Success
1200185,502804,2025-03-13 05:28:38,Deposit,3077.96,Shopping,UPI,Reversed
1200186,500517,2025-02-06 15:34:49,Payment,2474.03,Healthcare,UPI,Success
1200187,504503,2025-06-11 09:45:04,Payment,23244.48,Fuel,ATM,Failed
1200188,503782,2025-08-08 16:27:47,Payment,24698.35,Travel,Internet Banking,Success
1200189,504987,2025-10-30 04:26:09,Withdrawal,14684.52,Dining,POS,Success
1200190,507407,2025-05-08 05:29:07,Transfer,66669.44,Fuel,ATM,Success
1200191,501001,2025-06-01 16:54:00,Deposit,5506.36,Shopping,UPI,Success
1200192,500077,2025-03-17 10:37:51,Interest,8276.77,Travel,ATM,Success
1200193,500027,2025-07-21 09:01:15,Payment,7610.38,Education,ATM,Success
1200194,504833,2025-05-01 23:26:01,Transfer,5535.73,Groceries,Mobile,Success
1200195,504208,2025-09-08 10:52:20,Transfer,3186.89,Fuel,UPI,Success
1200196,509618,2025-10-25 07:55:49,Deposit,10059.01,Fuel,UPI,Success
1200197,508871,2025-03-19 09:10:15,Deposit,4030.9,Groceries,POS,Success
1200198,505320,2025-07-13 10:08:34,Interest,7834.75,Utilities,Internet Banking,Success
1200199,511989,2025-08-29 20:17:41,Withdrawal,11155.43,Dining,UPI,Success
1200200,510713,2025-06-15 15:58:58,Payment,11642.1,Groceries,POS,Success
1200201,513776,2025-08-13 12:29:20,Deposit,1318.97,Dining,POS,Success
1200202,508660,2025-07-05 12:11:15,Withdrawal,3022.94,Shopping,POS,Success
1200203,504001,2025-07-02 00:07:58,Payment,6719.5,Education,Internet Banking,Success
1200204,506545,2025-08-22 23:09:11,Interest,5437.53,Fuel,UPI,Success
1200205,510618,2025-08-02 19:59:49,Fee,3180.46,Education,Internet Banking,Success
1200206,511079,2025-05-09 07:46:47,Fee,3721.21,Healthcare,UPI,Success
1200207,504132,2025-09-17 20:01:01,Payment,2566.57,Groceries,UPI,Success
1200208,502098,2025-06-01 00:30:03,Payment,19490.61,Healthcare,UPI,Success
1200209,506129,2025-02-26 10:11:48,Payment,11344.92,Other,UPI,Success
1200210,502701,2025-03-14 02:36:48,Payment,4168.4,Dining,UPI,Success
1200211,513600,2025-11-17 11:33:11,Fee,2795.78,Other,ATM,Success
1200212,510167,2025-05-09 03:56:45,Deposit,4863.91,Dining,ATM,Success
1200213,502545,2025-10-05 04:00:45,Withdrawal,10278.31,Travel,Branch,Success
1200214,512509,2025-06-24 09:40:57,Fee,4657.16,Shopping,POS,Success
1200215,501988,2025-08-08 11:38:23,Interest,3340.76,Fuel,Mobile,Success
1200216,503477,2025-06-15 05:56:41,Payment,4603.26,Utilities,UPI,Success
1200217,500079,2025-08-26 04:59:05,Withdrawal,1601.51,Healthcare,POS,Success
1200218,503493,2025-12-18 17:14:02,Payment,8572.14,Other,ATM,Success
1200219,509913,2025-10-26 09:07:34,Deposit,7952.1,Shopping,Mobile,Success
1200220,508378,2025-11-04 16:53:51,Transfer,1111.93,Healthcare,ATM,Success
1200221,503634,2025-09-05 08:12:15,Deposit,10660.75,Education,ATM,Success
1200222,510244,2025-06-13 10:46:45,Deposit,1279.26,Travel,ATM,Success
1200223,510491,2025-04-17 03:59:51,Fee,6048.18,Education,ATM,Success
1200224,509218,2025-08-21 18:24:35,Deposit,15354.61,Travel,Mobile,Success
1200225,510518,2025-10-29 06:35:28,Withdrawal,2612.36,Fuel,POS,Success
1200226,504870,2025-02-03 12:47:41,Withdrawal,4525.41,Utilities,UPI,Success
1200227,504771,2025-06-14 15:12:06,Payment,902.85,Dining,ATM,Success
1200228,500468,2025-12-26 02:29:29,Withdrawal,2452.01,Other,POS,Success
1200229,508198,2025-02-20 02:41:37,Withdrawal,911.03,Groceries,Mobile,Success
1200230,504300,2025-07-31 07:44:36,Withdrawal,5146.16,Healthcare,ATM,Success
1200231,505607,2025-12-02 18:43:53,Fee,1732.3,Dining,Internet Banking,Success
1200232,506368,2025-11-18 12:26:59,Withdrawal,7569.74,Other,POS,Failed
1200233,513699,2025-07-21 11:18:14,Payment,1385.07,Travel,Internet Banking,Success
1200234,509494,2025-04-28 01:46:51,Interest,4565.31,Groceries,Mobile,Success
1200235,501997,2025-05-21 15:13:52,Withdrawal,1169.51,Travel,ATM,Success
1200236,510883,2025-09-03 08:39:07,Fee,10018.62,Shopping,UPI,Success
1200237,512551,2025-08-18 02:54:12,Deposit,4548.82,Groceries,UPI,Success
1200238,501213,2025-09-03 06:41:59,Deposit,3936.12,Education,Mobile,Failed
1200239,500509,2025-07-29 17:03:29,Withdrawal,12078.46,Other,POS,Success
1200240,504160,2025-04-26 05:24:36,Transfer,3005.42,Dining,Internet Banking,Success
1200241,509497,2025-11-18 04:05:52,Withdrawal,5846.33,Education,ATM,Reversed
1200242,506368,2025-05-10 22:43:48,Deposit,15187.49,Fuel,ATM,Success
1200243,506785,2025-04-19 01:08:29,Deposit,5112.92,Travel,POS,Success
1200244,504428,2025-02-02 08:13:12,Deposit,3056.53,Dining,Branch,Success
1200245,511277,2025-04-10 18:43:34,Fee,4304.44,Groceries,Internet Banking,Success
1200246,509720,2025-01-18 12:31:35,Transfer,12096.78,Groceries,UPI,Success
1200247,511113,2025-08-18 04:46:13,Interest,41420.65,Utilities,Branch,Success
1200248,507990,2025-04-02 02:54:13,Fee,2611.0,Utilities,Mobile,Success
1200249,507246,2025-08-06 20:07:37,Deposit,1743.55,Utilities,UPI,Success
1200250,506799,2025-12-26 09:50:24,Interest,2791.33,Groceries,POS,Success
1200251,504523,2025-04-18 05:53:09,Deposit,7633.11,Fuel,Mobile,Success
1200252,508017,2025-02-22 03:19:56,Payment,5943.75,Dining,POS,Success
1200253,500486,2025-04-22 16:28:13,Payment,3843.69,Education,POS,Success
1200254,505019,2025-09-30 14:32:20,Payment,6303.7,Travel,UPI,Success
1200255,500841,2025-05-30 06:27:07,Deposit,27577.79,Utilities,Mobile,Success
1200256,505832,2025-05-28 14:18:23,Withdrawal,9179.85,Shopping,UPI,Success
1200257,512882,2025-03-06 00:03:23,Deposit,18718.5,Healthcare,Branch,Success
1200258,509089,2025-08-13 22:58:16,Withdrawal,5536.73,Travel,ATM,Success
1200259,513164,2025-08-27 14:30:16,Payment,1295.37,Shopping,Internet Banking,Success
1200260,508311,2025-05-05 08:36:34,Transfer,6256.99,Shopping,UPI,Success
1200261,500778,2025-04-26 00:19:55,Interest,2265.19,Groceries,Internet Banking,Success
1200262,502572,2025-07-12 05:40:28,Fee,6319.3,Shopping,UPI,Success
1200263,504451,2025-02-22 20:53:16,Interest,6957.16,Fuel,ATM,Success
1200264,502907,2025-02-07 10:25:27,Transfer,1186.34,Fuel,Branch,Success
1200265,510969,2025-01-18 05:36:16,Deposit,40340.02,Fuel,Mobile,Success
1200266,508706,2025-03-18 14:32:30,Interest,8155.78,Groceries,UPI,Success
1200267,512387,2025-11-22 23:43:16,Transfer,3983.33,Utilities,POS,Success
1200268,513470,2025-10-09 16:43:04,Transfer,15230.95,Dining,UPI,Success
1200269,513239,2025-04-29 04:45:30,Fee,2935.3,Shopping,POS,Success
1200270,505628,2025-09-03 18:12:18,Withdrawal,6566.57,Travel,POS,Success
1200271,507215,2025-12-09 08:35:44,Payment,4797.44,Fuel,ATM,Success
1200272,501762,2025-01-04 16:37:03,Interest,1554.46,Other,ATM,Success
1200273,504785,2025-04-28 21:50:47,Deposit,14824.92,Groceries,Internet Banking,Success
1200274,510629,2025-08-13 12:47:40,Payment,2807.54,Utilities,ATM,Success
1200275,500926,2025-04-01 09:24:33,Transfer,4284.61,Other,ATM,Success
1200276,507469,2025-08-21 18:01:22,Transfer,22898.15,Other,UPI,Success
1200277,512929,2025-11-13 06:22:37,Fee,22314.64,Fuel,POS,Success
1200278,508688,2025-11-27 14:41:40,Payment,2260.54,Utilities,Branch,Success
1200279,513459,2025-01-29 10:30:17,Withdrawal,2323.3,Dining,UPI,Success
1200280,507257,2025-05-24 08:31:12,Payment,3658.75,Other,Mobile,Success
1200281,501100,2025-10-06 18:56:19,Transfer,2394.02,Healthcare,ATM,Success
1200282,505133,2025-09-30 21:40:19,Transfer,10915.59,Utilities,Mobile,Success
1200283,502753,2025-01-31 01:51:49,Payment,6599.59,Healthcare,UPI,Success
1200284,500516,2025-03-15 15:57:39,Deposit,3029.77,Shopping,POS,Success
1200285,504699,2025-03-30 23:52:15,Interest,84545.58,Travel,ATM,Success
1200286,510119,2025-01-23 07:54:29,Transfer,18326.18,Fuel,Internet Banking,Success
1200287,501949,2025-09-18 12:47:43,Payment,441.05,Fuel,Mobile,Success
1200288,506586,2025-02-26 22:07:13,Payment,11779.18,Utilities,Internet Banking,Success
1200289,507441,2025-03-25 19:40:21,Withdrawal,770.71,Travel,UPI,Success
1200290,509435,2025-02-01 14:06:22,Interest,2787.46,Dining,UPI,Success
1200291,510284,2025-11-09 17:19:33,Fee,7283.74,Groceries,UPI,Success
1200292,501539,2025-01-04 19:19:24,Transfer,1962.04,Dining,UPI,Success
1200293,505895,2025-06-02 07:17:00,Interest,6506.44,Other,ATM,Success
1200294,511791,2025-10-25 17:38:19,Deposit,6265.44,Other,Branch,Success
1200295,507576,2025-02-13 00:55:24,Withdrawal,7932.44,Other,Mobile,Success
1200296,507722,2025-05-06 05:09:53,Transfer,4885.18,Healthcare,Internet Banking,Success
1200297,510715,2025-09-28 23:32:24,Withdrawal,6756.49,Travel,POS,Success
1200298,511462,2025-10-01 08:37:14,Withdrawal,6635.53,Travel,POS,Success
1200299,506332,2025-03-20 06:28:57,Deposit,8982.62,Other,POS,Success
1200300,505815,2025-03-07 20:58:37,Deposit,2245.84,Travel,Internet Banking,Success
1200301,508119,2025-04-26 03:57:51,Interest,20560.07,Shopping,ATM,Success
1200302,500860,2025-11-01 17:42:25,Transfer,9778.43,Fuel,ATM,Success
1200303,505219,2025-09-27 19:52:54,Withdrawal,1796.47,Healthcare,POS,Success
1200304,507686,2025-06-17 15:21:43,Deposit,3554.11,Groceries,UPI,Success
1200305,503585,2025-09-22 08:48:13,Transfer,1359.15,Dining,POS,Success
1200306,511907,2025-10-04 06:03:35,Fee,3000.75,Shopping,Internet Banking,Success
1200307,505558,2025-01-06 21:24:51,Payment,8835.7,Shopping,UPI,Success
1200308,506607,2025-06-20 04:13:33,Fee,5206.16,Utilities,Internet Banking,Reversed
1200309,506857,2025-03-18 17:02:37,Transfer,2369.41,Fuel,UPI,Success
1200310,507319,2025-03-30 11:26:57,Payment,9924.4,Groceries,POS,Success
1200311,502008,2025-02-25 16:55:47,Transfer,761.31,Dining,Branch,Success
1200312,511554,2025-01-08 17:46:18,Withdrawal,6548.34,Groceries,ATM,Success
1200313,507995,2025-01-14 19:59:07,Payment,7875.44,Healthcare,UPI,Success
1200314,505868,2025-06-01 04:11:14,Interest,3834.91,Fuel,Internet Banking,Success
1200315,508205,2025-02-04 14:20:11,Transfer,2959.09,Groceries,POS,Success
1200316,512551,2025-07-30 06:21:54,Deposit,2300.97,Dining,UPI,Success
1200317,511134,2025-01-11 14:37:58,Withdrawal,4955.9,Dining,UPI,Success
1200318,512786,2025-06-22 02:07:31,Withdrawal,1618.79,Utilities,UPI,Failed
1200319,501532,2025-03-21 04:50:19,Interest,9600.98,Fuel,UPI,Reversed
1200320,510300,2025-11-04 10:40:07,Interest,21534.13,Education,Internet Banking,Success
1200321,513312,2025-02-08 05:44:19,Fee,605.37,Travel,ATM,Success
1200322,507367,2025-12-21 14:44:46,Deposit,1456.21,Travel,Mobile,Success
1200323,511570,2025-09-26 18:54:33,Interest,3799.15,Travel,Mobile,Success
1200324,507617,2025-08-15 13:41:48,Payment,38704.8,Fuel,UPI,Success
1200325,507760,2025-02-25 05:22:52,Withdrawal,4234.56,Healthcare,UPI,Success
1200326,511245,2025-07-31 06:43:53,Withdrawal,23294.84,Travel,POS,Success
1200327,504281,2025-06-25 19:15:59,Payment,14152.98,Utilities,Branch,Success
1200328,509462,2025-06-19 16:25:03,Payment,2625.2,Dining,Internet Banking,Success
1200329,510082,2025-11-23 15:51:21,Payment,5397.55,Other,UPI,Success
1200330,506812,2025-08-15 11:29:27,Payment,1307.14,Fuel,POS,Success
1200331,507739,2025-10-19 06:37:32,Transfer,1305.0,Fuel,ATM,Success
1200332,509617,2025-08-10 21:32:45,Payment,4672.01,Other,UPI,Success
