customer_id,loans,exposure,defaults,credit_score,risk_segment,annual_income,exposure_to_income
100050,1,425141.94,0,729,Medium,850767.99,0.4997154864747556
100051,1,172215.52,0,685,Medium,998960.46,0.1723947312188913
100053,2,59814.46,0,696,Medium,1556664.36,0.03842476357588093
100055,5,3144431.61,1,642,High,930878.08,3.3779199205120394
100056,1,0.0,0,641,High,559155.76,0.0
100057,2,392439.84,0,681,Medium,1550661.85,0.25307892884576993
100058,1,0.0,0,719,Medium,697810.49,0.0
100059,2,414101.3,0,718,Medium,471047.83,0.8791066928383896
100060,5,1874898.5299999998,2,638,High,239830.47,7.8175993650848445
100061,3,2544470.88,0,677,High,908062.18,2.802088817309845
100062,3,2995377.94,0,700,Medium,400217.11,7.484382514280811
100063,3,325066.49,0,696,Medium,1032254.59,0.3149092221522599
100064,3,392942.71,0,736,Medium,1050414.85,0.37408335382920377
100065,2,95541.0,0,751,Low,632894.05,0.15095891642526896
100066,2,385946.63,0,660,High,1227119.64,0.3145142636621805
100067,2,373899.85,0,725,Medium,551316.17,0.6781949638807074
100068,2,2551021.96,0,736,Medium,906533.59,2.8140401945834133
100069,5,3413513.2199999997,0,689,Medium,1563613.22,2.183093092548808
100070,2,630445.25,0,786,Low,864454.83,0.7292980825846043
100071,3,5912648.68,0,670,High,1064949.01,5.55204861874091
100073,4,542258.29,0,721,Medium,1079809.04,0.5021798020879692
100075,1,1934968.03,0,718,Medium,721403.77,2.6822261131238614
100077,4,3654331.88,1,619,High,832544.83,4.389351477925819
100078,1,862190.44,0,683,Medium,397057.85,2.171447913698218
100080,2,2004788.98,0,629,High,302356.16,6.630554442813403
100081,3,756456.83,0,668,High,995802.48,0.759645456998661
100083,1,143498.02,0,629,High,481277.4,0.29816072809568867
100084,1,0.0,0,714,Medium,763362.05,0.0
100085,2,0.0,0,567,Very High,423160.22,0.0
100087,5,2812830.4899999998,0,709,Medium,2319367.84,1.212757390824217
100088,3,1523263.64,0,709,Medium,289514.05,5.261449798377661
100089,1,81877.62,0,717,Medium,1035941.29,0.07903693075116254
100092,1,165481.23,0,719,Medium,1187692.41,0.139330039163928
100093,4,1054978.48,0,734,Medium,1175324.94,0.8976057974231365
100094,3,2115580.12,0,743,Medium,576264.33,3.6711974173379778
100096,1,460710.66,0,688,Medium,453383.05,1.0161620731079382
100097,3,816397.78,1,649,High,438471.96,1.8619155943289964
100098,2,305133.47,0,699,Medium,424444.07,0.7189014797638709
100099,3,935543.47,0,694,Medium,427442.19,2.1887017516918488
100100,4,1131429.52,0,742,Medium,876113.85,1.2914183698842336
100102,1,0.0,0,765,Low,1301188.26,0.0
100103,1,70872.27,0,679,High,996288.5,0.07113629234905351
100104,4,2286420.73,0,798,Low,2314360.8,0.9879275219317576
100106,2,280892.31,0,629,High,552342.12,0.5085476914199482
100107,3,565949.5,0,711,Medium,754988.45,0.7496134543515203
100108,1,86142.0,0,798,Low,717822.23,0.12000464237503483
100109,2,150771.88,0,691,Medium,413533.38,0.36459421969757316
100110,2,1534988.54,0,754,Low,701062.23,2.189518240056949
100111,2,874210.5499999999,0,718,Medium,413244.26,2.1154814104374973
100112,1,0.0,0,711,Medium,629272.62,0.0
100113,1,0.0,0,677,High,890134.22,0.0
100114,1,227393.07,1,583,Very High,395808.09,0.5745033407477851
100115,2,87417.83,0,721,Medium,180000.0,0.48565461111111113
100116,2,784549.17,0,778,Low,626801.0,1.2516718543844059
100117,1,0.0,0,707,Medium,712485.06,0.0
100119,1,271156.75,0,723,Medium,902522.78,0.30044310903709265
100121,3,623834.94,0,644,High,874321.86,0.7135071974524347
100122,1,0.0,0,694,Medium,664172.02,0.0
100124,1,52184.33,0,677,High,551875.41,0.09455817210627304
100125,2,1433800.41,0,615,High,975992.35,1.4690693118649956
100126,3,933587.51,0,687,Medium,2329099.99,0.4008361659045818
100127,2,0.0,0,730,Medium,933033.89,0.0
100128,4,870863.25,0,774,Low,1003501.42,0.8678246314788473
100129,1,329354.68,0,803,Low,684498.46,0.48116204673418844
100130,1,128662.46,0,764,Low,959729.47,0.1340611745516161
100133,3,2479266.58,0,636,High,975269.99,2.5421335685721242
100134,2,1192059.55,0,788,Low,938697.34,1.2699083071866382
100135,1,117603.2,0,685,Medium,354059.61,0.33215649760219756
100136,1,0.0,0,733,Medium,847923.41,0.0
100137,1,326400.52,0,725,Medium,957351.1,0.34094129102687615
100138,1,3848803.82,0,718,Medium,346445.39,11.109409826466445
100139,1,1179395.92,0,781,Low,1210608.97,0.9742170669691964
100140,3,336794.83999999997,0,707,Medium,801689.26,0.42010646369392546
100141,2,225137.06,0,718,Medium,751235.75,0.2996889591582935
100142,1,717336.32,0,672,High,1657956.07,0.43266304396111044
100143,2,1365333.05,0,734,Medium,623167.68,2.190956132384786
100144,1,1479898.04,0,580,Very High,613777.31,2.411131881040047
100145,1,224967.33,0,726,Medium,569565.97,0.3949802864802474
100146,3,1864224.8699999999,0,647,High,1088595.88,1.7125040653286323
100147,2,412848.82,0,670,High,467551.68,0.8830014684152135
100148,2,0.0,0,834,Low,796621.35,0.0
100149,2,322507.12,0,691,Medium,957832.54,0.33670511966528094
100150,2,3866847.32,0,725,Medium,415920.36,9.297085913274358
100151,1,294938.16,0,649,High,312322.52,0.9443384357938709
100152,3,1822280.5499999998,0,691,Medium,857599.38,2.1248622521159004
100153,2,61140.99,0,735,Medium,320883.89,0.19053929444697268
100154,1,364819.31,0,767,Low,522823.01,0.6977874022797887
100155,1,70201.6,0,732,Medium,1051347.29,0.06677298801997197
100156,1,98683.08,0,746,Medium,1536149.12,0.06424056018728182
100157,1,0.0,0,762,Low,783300.97,0.0
100158,2,1925633.19,0,658,High,751283.37,2.5631250030198327
100159,2,484637.32,1,584,Very High,655848.85,0.7389466643114493
100160,1,201844.65,0,703,Medium,1523426.79,0.1324938299135464
100161,3,3000378.2399999998,0,670,High,249441.16,12.028400765936142
100162,1,2508810.91,0,710,Medium,1321708.74,1.8981571613122572
100163,5,5476959.57,0,781,Low,750552.89,7.297233336880496
100164,3,159350.91,0,645,High,327354.64,0.4867837217764807
100167,3,4194001.1399999997,0,624,High,745624.36,5.624817756758913
100168,4,3339299.1999999997,0,755,Low,1741586.22,1.9173895392902223
100169,2,0.0,0,781,Low,450554.93,0.0
100170,1,0.0,0,664,High,708928.74,0.0
100171,1,0.0,0,673,High,1221446.01,0.0
100173,3,1344405.6400000001,0,728,Medium,456952.69,2.942111228188634
100174,3,512576.17,0,634,High,404459.08,1.267312802076294
100175,3,201251.47,0,701,Medium,485017.03,0.41493691468936666
100176,3,2013389.22,0,670,High,1893241.32,1.063461482025968
100177,4,1456251.38,0,614,High,682466.01,2.1338079240019585
100178,3,1238823.56,0,742,Medium,530811.31,2.3338303775026947
100179,1,0.0,0,675,High,1161829.4,0.0
100180,2,2531522.96,0,784,Low,1039534.49,2.4352467227903136
100181,3,1004585.81,0,789,Low,539267.11,1.862872389899692
100182,1,26845.59,0,703,Medium,1161868.15,0.023105539126793348
100183,2,341176.80000000005,0,675,High,823375.05,0.41436378233710147
100184,3,0.0,0,636,High,521283.44,0.0
100185,1,282111.1,0,686,Medium,1135346.87,0.24848009665979873
100186,1,231674.88,0,744,Medium,391925.89,0.591119101624034
100187,2,146125.64,0,618,High,922324.96,0.15843183946794634
100188,2,63627.05,0,753,Low,850561.5,0.07480593701925141
100189,1,290871.13,1,640,High,266981.5,1.0894804696205542
100190,1,141270.76,0,849,Low,1076975.16,0.13117364749619667
100191,3,175988.81,1,827,Low,425070.42,0.4140227165183595
100192,4,493321.32,0,628,High,1021802.28,0.4827952820774681
100193,1,653224.54,0,677,High,567457.19,1.1511432959374435
100194,1,188386.83,0,720,Medium,608651.36,0.30951517137824186
100195,1,0.0,0,722,Medium,1183332.39,0.0
100198,1,175017.78,0,670,High,1690263.49,0.10354467278944776
100199,4,1964077.5999999999,0,622,High,1029289.24,1.9081882173372373
100200,1,0.0,0,714,Medium,1098984.71,0.0
100201,3,592836.07,0,769,Low,316622.9,1.8723726868776702
100202,2,595061.32,0,688,Medium,761648.69,0.7812805665036987
100204,1,211084.24,0,610,High,465246.24,0.45370434374708757
100205,1,0.0,0,663,High,1389272.58,0.0
100206,2,94967.49,0,783,Low,2695265.76,0.03523492614694887
100207,1,506939.46,0,780,Low,603465.53,0.8400470860365463
100208,1,54032.43,0,660,High,1273725.72,0.042420773288616646
100212,2,932719.46,0,718,Medium,352454.5,2.6463542386322203
100213,1,123719.65,0,639,High,617441.98,0.20037453559604093
100214,2,558317.08,0,772,Low,531945.66,1.049575402119081
100216,3,1203572.6700000002,0,711,Medium,297315.43,4.048133896044346
100218,1,1480195.87,0,582,Very High,682907.61,2.167490665391765
100219,2,1355507.31,0,647,High,2264000.52,0.5987221725549781
100220,1,0.0,0,713,Medium,1190383.31,0.0
100223,3,437294.92,0,655,High,809997.84,0.539871711262835
100224,3,1157252.92,0,612,High,1120372.87,1.0329176571367706
100226,1,2172821.38,0,661,High,1015041.3,2.140623617974953
100227,2,235016.16,0,623,High,583785.07,0.402573090812343
100229,1,1653918.78,0,682,Medium,343127.88,4.82012356442735
100230,3,2606399.36,0,686,Medium,878831.95,2.96575398743753
100231,3,555265.19,0,717,Medium,282232.32,1.9674046898668442
100232,1,0.0,0,762,Low,833726.01,0.0
100234,1,0.0,0,700,Medium,1281355.39,0.0
100235,1,245647.05,0,617,High,1071366.18,0.22928393166190855
100236,2,539618.67,0,770,Low,567614.06,0.950678829203068
100237,2,3990592.54,0,741,Medium,284910.35,14.006484987295128
100238,2,150639.72999999998,0,661,High,1444238.55,0.10430391156640983
100239,3,0.0,0,707,Medium,311420.6,0.0
100241,2,330401.12,0,735,Medium,527604.18,0.6262291553489966
100242,1,2789116.47,0,623,High,315823.23,8.831258137661376
100243,1,1402321.94,0,604,High,2768627.0,0.5065044659320306
100244,3,488414.46,0,804,Low,854338.57,0.5716872410430914
100245,4,3895002.04,0,735,Medium,214523.26,18.1565488050107
100246,2,1035344.42,0,626,High,1046842.05,0.9890168435629807
100247,2,1444291.13,0,648,High,791361.91,1.8250703145416738
100248,1,401312.1,0,620,High,666584.49,0.602042360751598
100249,1,253453.05,0,678,High,797367.71,0.31786219434443863
100250,2,111578.32,0,717,Medium,546058.0,0.2043341916060199
100251,2,2221753.95,0,760,Low,549479.74,4.043377377298752
100252,1,207014.81,0,657,High,392745.98,0.5270959361570041
100253,4,834210.05,0,649,High,1191827.39,0.6999420025075948
100254,2,994534.82,0,793,Low,367835.4,2.703749611918809
100255,7,2827728.52,0,744,Medium,1676340.8,1.6868458490063596
100256,3,3631246.73,0,612,High,1380383.45,2.6306072635107296
100258,1,982290.67,0,697,Medium,587817.5,1.6710810242975074
100259,1,0.0,0,699,Medium,975004.93,0.0
100260,1,156880.03,0,699,Medium,871891.79,0.17993061960131543
100261,1,111115.91,0,584,Very High,649769.42,0.17100821703797633
100262,2,105978.12,0,785,Low,1203951.74,0.08802522267213135
100263,1,272844.99,0,731,Medium,942100.69,0.2896134063971442
100265,2,1883381.26,0,678,High,405453.02,4.645128207455453
100266,1,0.0,0,661,High,973982.8,0.0
100267,1,296930.97,0,640,High,1075631.42,0.2760527114390169
100268,3,526936.52,0,679,High,1089268.21,0.48375277563640645
100269,3,37044.23,0,599,Very High,417637.23,0.0886995395501498
100270,5,1181353.35,0,674,High,1639639.53,0.7204957726287559
100271,3,612363.75,0,729,Medium,317796.61,1.9269046010276825
100272,1,0.0,0,614,High,544678.95,0.0
100273,3,1499025.04,0,733,Medium,1351933.01,1.1088012711517414
100274,3,211437.95,0,723,Medium,579208.85,0.3650461314601806
100275,1,0.0,0,666,High,180000.0,0.0
100276,4,783084.03,0,762,Low,260667.52,3.0041488483106757
100277,3,307897.77,0,605,High,1122045.35,0.27440759858770414
100279,3,3065022.19,0,679,High,226076.13,13.557478138005989
100280,3,1100006.74,0,713,Medium,773634.52,1.4218687397765033
100281,2,0.0,0,684,Medium,387064.01,0.0
100282,4,822060.32,0,726,Medium,500776.52,1.6415712142414343
100284,3,234049.12,0,786,Low,845200.13,0.27691562233905476
100285,2,2827593.67,0,684,Medium,486767.24,5.808923521640446
100286,1,666083.74,0,712,Medium,1012321.01,0.657976801252006
100288,3,232110.76,0,761,Low,346345.85,0.6701704668902486
100289,1,231882.14,0,736,Medium,1993254.02,0.11633346160265114
100290,2,1111456.13,0,732,Medium,521603.72,2.130843947968776
100291,1,562775.74,0,619,High,360201.04,1.5623934345109054
100292,1,0.0,0,736,Medium,571729.34,0.0
100293,1,53004.14,0,716,Medium,434214.81,0.12206893634051773
100294,1,3824613.42,0,736,Medium,434062.66,8.811201175424765
100297,4,1646639.65,0,753,Low,681975.76,2.414513457193845
100298,1,265318.29,0,685,Medium,252727.35,1.0498202509542398
100299,1,146996.08,1,649,High,229125.25,0.6415533861937956
100300,2,215429.42,0,694,Medium,1149938.03,0.18734002561859792
100304,1,0.0,0,710,Medium,1238002.08,0.0
100305,3,1693790.7599999998,0,730,Medium,1147074.54,1.4766178665250471
100306,2,443960.43999999994,0,671,High,2524156.24,0.1758846908779307
100307,5,1700281.74,0,656,High,896342.22,1.896911360484615
100308,1,79171.18,0,681,Medium,711832.25,0.11122168179370912
100310,1,177213.37,0,733,Medium,848471.7,0.20886185125561643
100311,2,407376.19,0,771,Low,446258.67,0.9128700849666406
100313,1,562582.03,0,726,Medium,771631.64,0.7290810807084064
100314,2,0.0,0,644,High,269267.85,0.0
100315,1,0.0,0,730,Medium,2266705.12,0.0
100316,2,550308.8400000001,0,690,Medium,270183.63,2.036795641542014
100317,6,316767.72,0,733,Medium,788406.03,0.4017824673410983
100318,3,966305.35,0,743,Medium,590673.24,1.6359389330046508
100319,2,3546867.98,0,694,Medium,754666.51,4.6999143767490095
100320,6,3845880.02,0,639,High,484612.33,7.935992920361725
100321,4,897540.03,0,640,High,979329.52,0.9164841982910921
100322,4,2684196.15,0,650,High,713703.34,3.7609409954561794
100323,3,292332.07,0,727,Medium,1259537.28,0.2320948134222752
100324,1,54931.73,0,695,Medium,424093.15,0.1295275106424143
100325,2,139801.47,0,759,Low,858982.83,0.16275234511963413
100327,3,3857599.38,0,734,Medium,411713.29,9.369625595520612
100328,3,242607.04,0,590,Very High,555282.74,0.4369072231562609
100332,1,172619.95,0,806,Low,571806.81,0.30188508947628656
100333,1,380465.65,0,703,Medium,1592252.17,0.2389481120945811
100335,3,3229977.87,1,577,Very High,996510.58,3.241288085471205
100336,4,571176.93,0,698,Medium,865656.45,0.6598194121929087
100337,3,1542587.47,0,781,Low,1193014.41,1.293016628357406
100338,2,3617653.94,0,661,High,680666.14,5.314872780361896
100339,2,0.0,0,634,High,836084.06,0.0
100340,1,542243.3,0,786,Low,1779891.89,0.3046495705983581
100341,1,1816285.68,0,678,High,1388170.05,1.3084028718239527
100342,1,97104.73,0,680,Medium,1801139.6,0.053912939341292584
100343,1,613388.8,0,743,Medium,645184.3,0.9507187326164013
100344,1,0.0,0,761,Low,1083312.38,0.0
100345,1,0.0,0,636,High,460341.27,0.0
100347,2,717778.71,0,680,Medium,880048.0,0.8156131370107085
100348,2,231059.67,0,761,Low,339451.22,0.6806859318402215
100349,3,0.0,0,684,Medium,269459.12,0.0
100350,2,101266.1,0,699,Medium,546102.42,0.18543426341161426
100352,4,2397472.4699999997,0,703,Medium,698348.52,3.433060143093021
100353,3,475460.49,0,674,High,609851.75,0.7796329025865713
100354,1,216915.28,0,654,High,1009989.45,0.21476984734840548
100355,2,3282941.59,0,630,High,261371.98,12.560419024258069
100356,4,1699715.31,0,772,Low,588627.69,2.887589793813472
100357,2,260596.13999999998,0,650,High,1034182.15,0.2519828252692236
100358,1,0.0,0,799,Low,642929.75,0.0
100359,1,0.0,0,746,Medium,795508.05,0.0
100360,1,592789.32,0,742,Medium,509842.26,1.1626916136767476
100362,3,2041917.9900000002,0,783,Low,1243588.25,1.6419566444118463
100363,1,2959504.56,0,744,Medium,844703.58,3.503601298813011
100364,2,1650944.61,0,688,Medium,292587.27,5.642571565058179
100365,2,760230.74,0,737,Medium,2124411.48,0.3578547504365774
100366,3,1297684.96,0,713,Medium,1010580.92,1.2840980215616973
100367,3,1287083.81,1,610,High,465976.24,2.7621232576150234
100368,1,0.0,0,697,Medium,1156540.72,0.0
100369,1,294842.05,0,694,Medium,297841.8,0.9899283780852788
100370,2,479933.34,0,778,Low,1190151.22,0.40325408396422097
100371,4,862572.04,1,648,High,1399032.2,0.6165490972974033
100373,2,3705495.58,0,775,Low,1504988.77,2.4621416809641707
100374,1,353696.95,0,704,Medium,1295906.8,0.272933940928468
100375,2,884171.4400000001,0,739,Medium,971146.09,0.9104412292902297
100376,3,1027413.24,0,670,High,1327606.09,0.773884096901062
100377,2,0.0,0,645,High,457809.0,0.0
100378,2,2104914.9299999997,0,678,High,538310.29,3.9102260705438114
100379,2,411028.51,0,662,High,1866144.98,0.22025540052091774
100380,1,187382.1,0,780,Low,1578552.67,0.11870500336235218
100381,1,0.0,0,762,Low,752198.9,0.0
100382,2,3496990.97,1,736,Medium,666739.21,5.244915729494895
100384,3,67519.97,0,595,Very High,419268.07,0.16104248053041578
100386,1,289245.53,0,706,Medium,594466.68,0.48656306523353
100387,3,567389.71,0,674,High,1652196.96,0.3434152971689283
100388,3,2850601.3600000003,0,724,Medium,282787.35,10.08037085110066
100390,1,55917.9,0,696,Medium,425155.71,0.13152334235379315
100391,6,2396203.34,1,652,High,931084.08,2.573562787154518
100392,1,113106.55,0,722,Medium,680723.38,0.16615640555786404
100393,3,421522.92000000004,0,637,High,719783.38,0.5856246916954376
100394,1,0.0,0,709,Medium,412713.73,0.0
100395,6,1943663.42,0,690,Medium,455970.94,4.262691433800584
100398,2,72182.61,0,690,Medium,579199.7,0.12462473651143122
100400,4,1782026.6400000001,0,611,High,511893.87,3.481242391122988
100401,5,1455692.67,0,745,Medium,1966536.91,0.7402315525316023
100404,1,137306.55,0,668,High,727075.7,0.18884766744370635
100405,3,170693.86,0,737,Medium,1373719.19,0.1242567340127206
100406,2,1089088.5,0,753,Low,650203.56,1.6749962119555295
100407,1,1182392.09,0,715,Medium,261520.42,4.521222816941025
100408,1,1694092.74,0,700,Medium,559187.84,3.029559333765198
100410,2,784790.79,1,608,High,2161474.76,0.3630811724121174
100411,1,0.0,0,694,Medium,983748.71,0.0
100412,3,1475720.5799999998,1,731,Medium,1370469.33,1.0767994202394882
100413,1,141430.83,0,753,Low,1155724.62,0.12237416037740892
100414,4,2348429.08,0,696,Medium,1783852.02,1.3164932144988126
100415,1,192299.59,0,850,Low,487457.27,0.39449527545255403
100417,3,402408.21,0,670,High,362442.35,1.1102681847195839
100418,3,588462.78,0,699,Medium,1404617.41,0.41894880115433003
100419,2,1497332.92,0,723,Medium,478385.11,3.129973924146594
100420,1,817396.48,0,753,Low,385427.81,2.1207511725736654
100421,2,405164.22,0,756,Low,346020.44,1.170925682887404
100422,2,1804773.95,0,729,Medium,387826.78,4.653556801827867
100423,2,417244.99,0,786,Low,2185504.54,0.19091472122954273
100424,1,794106.08,0,664,High,372392.86,2.1324417444523505
100425,1,145701.29,0,682,Medium,356859.24,0.408287844809623
100426,1,247039.01,0,602,High,180000.0,1.3724389444444445
100428,1,541919.3,0,764,Low,1118103.44,0.4846772495396312
100429,4,4597418.93,1,644,High,232660.42,19.76021073975539
100430,2,367708.95,0,716,Medium,738768.69,0.4977321792021262
100432,4,2028150.49,0,656,High,893344.68,2.2702888766293428
100433,2,165086.43,0,714,Medium,673495.24,0.2451189261560334
100434,3,976291.5599999999,0,776,Low,847392.29,1.152112866167333
100435,1,263704.64,0,633,High,492019.92,0.5359633406712476
100436,1,175021.3,0,808,Low,1094774.74,0.15986969154951455
100437,3,74660.5,0,740,Medium,646359.02,0.11550933411589119
100438,2,401084.54000000004,0,668,High,1290853.94,0.31071256597783636
100440,2,760957.52,0,740,Medium,555845.16,1.3690098875737264
100441,2,654381.48,0,719,Medium,381398.26,1.7157432233697132
100443,2,1617093.04,0,726,Medium,610721.17,2.647841796609081
100444,2,1010998.81,0,695,Medium,456290.31,2.215692044829968
100445,2,343405.15,0,764,Low,630421.72,0.5447229038999482
100446,2,0.0,0,723,Medium,863629.45,0.0
100447,4,416586.51,0,769,Low,1145913.64,0.3635409296637747
100448,2,8715413.129999999,0,639,High,580299.37,15.018822319245322
100449,2,0.0,0,708,Medium,455831.1,0.0
100450,1,688687.6,0,637,High,2047732.47,0.3363171752606921
100451,2,111852.53,0,671,High,428917.3,0.260778779498985
100452,3,319597.57,0,628,High,806385.84,0.3963333111107209
100453,1,0.0,0,741,Medium,878383.36,0.0
100454,5,899771.75,1,737,Medium,830564.45,1.0833256227135655
100455,2,438916.42,0,660,High,941207.36,0.4663333911881012
100456,3,2883865.3600000003,0,638,High,561434.17,5.136604635232658
100457,3,1504420.19,0,687,Medium,3974056.08,0.3785603825701423
100458,3,257788.08999999997,0,797,Low,704451.29,0.36594168207144595
100459,2,1884016.73,0,657,High,536754.79,3.510013818414177
100460,1,1736413.4,0,730,Medium,1013069.46,1.7140121862917475
100461,1,161731.18,0,634,High,452746.91,0.35722205149892683
100463,2,1198441.3699999999,0,660,High,329030.79,3.642338062039726
100464,3,595481.52,0,625,High,616190.04,0.9663926408158107
100465,2,735224.5800000001,0,628,High,1342484.47,0.5476596537463112
100466,1,17662.16,0,760,Low,633754.76,0.027869076675652898
100467,3,2898472.05,0,702,Medium,554730.92,5.225005395408641
100468,2,1916134.5,0,766,Low,363494.59,5.27142508503359
100469,2,222451.16,0,714,Medium,272001.33,0.8178311481050479
100470,3,1435764.91,0,733,Medium,367296.19,3.9090111716105738
100472,3,652445.72,0,714,Medium,469229.5,1.3904618528886183
100473,2,1220094.5899999999,0,710,Medium,1211803.45,1.0068419841518028
100475,1,109445.37,0,718,Medium,411320.59,0.26608288683044046
100476,1,273580.81,0,654,High,631374.98,0.43330955243110836
100477,2,929043.63,0,752,Low,402413.7,2.308677935169702
100480,2,2008789.8499999999,0,696,Medium,956513.92,2.100115647036271
100481,1,0.0,0,850,Low,1282886.22,0.0
100483,2,785426.45,0,762,Low,518829.81,1.5138421788061869
100484,1,0.0,0,715,Medium,1237228.44,0.0
100485,2,2305948.34,0,596,Very High,735830.37,3.1338042489330795
100486,1,743297.61,0,640,High,980897.98,0.7577725973092533
100487,1,0.0,0,687,Medium,334463.63,0.0
100488,3,669716.26,0,745,Medium,945062.22,0.7086477967556465
100489,2,2801679.0,0,643,High,562080.46,4.984480335786802
100491,1,0.0,0,618,High,322184.2,0.0
100492,3,4548317.279999999,0,684,Medium,441119.67,10.310846668886924
100493,2,1358944.04,0,698,Medium,948082.36,1.433360747266725
100494,2,250025.38,0,642,High,484176.66,0.5163928802350779
100495,2,0.0,0,721,Medium,571455.28,0.0
100496,1,858664.47,0,791,Low,1108083.51,0.7749095282538768
100497,1,296981.66,0,707,Medium,246590.07,1.2043536870726383
100498,2,0.0,0,767,Low,808519.23,0.0
100499,1,0.0,0,720,Medium,921925.87,0.0
100500,5,431248.6,0,705,Medium,621776.12,0.6935753660015119
100501,2,0.0,0,805,Low,641506.14,0.0
100504,7,2831029.7199999997,0,705,Medium,1146867.42,2.4684890952783363
100505,1,0.0,0,595,Very High,1586721.54,0.0
100506,2,1723322.1500000001,0,627,High,1015170.28,1.6975695446876164
100507,1,458076.58,0,672,High,757626.12,0.6046208913705351
100508,2,484201.64,0,714,Medium,1122342.07,0.4314207343221127
100510,1,1333983.27,0,772,Low,655981.63,2.0335680284217714
100511,2,735655.76,0,730,Medium,959408.04,0.7667808996055526
100513,3,1660465.72,0,682,Medium,766824.71,2.1653784735236297
100514,2,1386106.15,0,693,Medium,321461.67,4.311886235145857
100515,2,359757.89,0,751,Low,359756.32,1.0000043640650984
100516,1,425209.8,0,722,Medium,689078.28,0.6170703856751949
100517,4,2811902.8600000003,1,731,Medium,493536.88,5.697452356549323
100519,2,1444787.0299999998,0,690,Medium,375869.9,3.8438487093539537
100522,2,2999134.76,0,696,Medium,783068.97,3.8299752319390206
100523,2,319167.91000000003,1,697,Medium,555140.15,0.5749321320030627
100524,1,705281.88,0,668,High,592836.26,1.1896739919383474
100525,2,715422.11,0,703,Medium,1672487.22,0.4277593882002877
100526,5,3056209.24,0,657,High,1069434.39,2.857780962140184
100527,3,1800280.17,0,765,Low,1204765.69,1.4942990034850676
100528,2,1133738.67,0,757,Low,461364.95,2.4573576081147905
100529,3,1898907.6500000001,0,739,Medium,1061048.97,1.7896512825416533
100530,1,56363.01,0,685,Medium,368766.12,0.15284215914412094
100531,3,270575.99,0,664,High,713653.64,0.37914189017518357
100532,2,323020.31,0,778,Low,771611.86,0.4186305664093862
100533,3,2024294.0099999998,0,805,Low,659845.23,3.067831542860437
100536,3,2506850.17,1,662,High,1049464.98,2.388693494088769
100538,2,560160.9099999999,0,593,Very High,715505.43,0.7828884121815818
100539,1,0.0,0,632,High,418194.97,0.0
100540,1,0.0,0,690,Medium,660108.41,0.0
100541,1,531297.5,0,704,Medium,691721.06,0.7680805612597655
100542,1,325841.72,0,702,Medium,875279.36,0.37227168249460374
